uuid, score, group,lsat,gender,race1,z,id,quality,score,group
43138171-8a90-4d9f-8503-430791137cea,1.0,0,,,,,,,,
0073f9c7-5d43-41f6-b59f-242bb5670810,1.0,1,,,,,,,,
d2886aee-21f7-4221-88da-f37f8b81c3b7,1.0,1,,,,,,,,
e1ee376e-e9f4-4330-879e-8ce8acf3e654,1.0,1,,,,,,,,
a5e655a7-e1f7-4b89-8182-85a7821ba873,1.0,0,,,,,,,,
f361a33e-0ff1-471b-a559-fb1a71708372,1.0,1,,,,,,,,
02043bf7-8263-462a-bb82-4be3f23442c0,1.0,1,,,,,,,,
45f9d1fa-9df2-48b8-a3fb-83661fee152f,1.0,1,,,,,,,,
16d0daab-5a94-4c14-bff5-81e47f221523,1.0,1,,,,,,,,
6aae020b-62ce-486f-9eed-89930f1f77a6,1.0,0,,,,,,,,
26668816-3db5-47b2-bb32-1dae38da38c1,1.0,1,,,,,,,,
56a46681-08ca-44c2-b739-f9c05f4bdbed,1.0,0,,,,,,,,
b003dae6-44cd-4c68-b033-d3cf6c322ed8,1.0,1,,,,,,,,
533890d3-8d47-452f-9889-7ac3530d7fc0,1.0,1,,,,,,,,
de9207b7-4b30-4242-9bf9-e0ab76b6d7c1,1.0,1,,,,,,,,
fd6721a0-3a17-4716-8c45-22c9b28864d0,1.0,1,,,,,,,,
3a4acd08-c657-4080-8a97-fe554eb8a901,1.0,1,,,,,,,,
1bd87816-7d84-4920-abd0-54f995488ee8,1.0,0,,,,,,,,
32219730-c97e-44df-82a2-5641ce7a5a95,1.0,1,,,,,,,,
1c29c638-4a75-453a-8365-210fdb5dae2d,1.0,0,,,,,,,,
503630aa-1a73-44d1-a589-9ebf317f91c4,1.0,1,,,,,,,,
c90aca62-6113-4f86-bb64-8785d8b33ece,1.0,1,,,,,,,,
19370396-94c1-4de0-813e-5a8e42df8a7a,1.0,1,,,,,,,,
571aa2a3-2789-48b7-8ab5-2aa97ea97b62,1.0,1,,,,,,,,
907fbf14-70c2-4b3d-a2d7-c63ddc1459e7,1.0,1,,,,,,,,
14473587-78f0-45f6-941c-764d760b5345,1.0,1,,,,,,,,
e726c3fd-b121-4c2b-9c43-8c06f84de2b0,1.0,1,,,,,,,,
2e8c4f61-8714-4674-8286-ef49e15e628b,1.0,0,,,,,,,,
16afd000-fb08-40f2-a973-6f25b99c95d4,1.0,1,,,,,,,,
03329cf3-0910-485d-aa23-bb803139bb3f,1.0,1,,,,,,,,
d8e25d46-ac13-4a99-8a1d-d0315a58ffa4,1.0,0,,,,,,,,
bccf6f95-e122-4c51-934a-ff412ff78c68,1.0,1,,,,,,,,
cd2e0af6-1d88-4141-a0d4-3d6e0a6234cb,1.0,1,,,,,,,,
4917d93c-9048-47be-833b-813a0d601b87,1.0,0,,,,,,,,
035ecf82-c164-4675-a00f-d19c4f694494,1.0,1,,,,,,,,
afadcf07-6af3-42da-8b5c-4796873bdfa1,1.0,0,,,,,,,,
6ef6d90c-9e15-4545-9db6-22eabbf5fcb2,1.0,0,,,,,,,,
b438ebcf-4b9d-45ad-8808-2ca69246f5c6,1.0,1,,,,,,,,
88b70209-69dc-49fb-9f60-9c3dbcaeaaa2,1.0,1,,,,,,,,
6e068ae8-f50d-4094-b84a-405c448aef2f,1.0,1,,,,,,,,
872a2ccc-0708-4810-8a26-0df033fc8316,1.0,0,,,,,,,,
e32aa322-9f94-4b04-8496-d4dfc0d855d9,1.0,1,,,,,,,,
34e909fb-0ee2-436e-a187-3f0c186c45a1,1.0,0,,,,,,,,
6185274f-55ad-4f43-bc53-9bd781d25414,1.0,1,,,,,,,,
f38b0dc1-3cd1-4710-977f-da6f646c2f01,1.0,1,,,,,,,,
cb72bcb7-56b3-414c-8edb-9539cce70fc0,1.0,0,,,,,,,,
39fbe02c-29c8-4d96-ae47-24925d365136,1.0,1,,,,,,,,
295f272b-b2c7-4e1b-9786-e3977f46c7ab,1.0,1,,,,,,,,
626ccfd7-8e00-40f5-85fc-9c22f04b0565,1.0,0,,,,,,,,
530e20a0-853a-4d2b-945d-5a8435db699b,1.0,1,,,,,,,,
29ac5ff3-9298-4e2c-98cb-e63b3e4f462a,1.0,0,,,,,,,,
2055641b-27e4-45da-93e8-b2f32a85d7bf,1.0,1,,,,,,,,
e0b661fe-9ff9-461a-9a03-2acf1d1d8967,1.0,0,,,,,,,,
0faf11de-21f3-4e33-850f-ef8e0ed5b59f,1.0,1,,,,,,,,
f929f0aa-127c-44db-b596-6eac231e251e,1.0,1,,,,,,,,
d0c8d8eb-f016-4ce4-8512-dce50334bb0a,1.0,1,,,,,,,,
1ae9649c-8160-454e-ba16-3d8b3cc8ef7c,1.0,1,,,,,,,,
725f3d63-4668-4917-80a9-de44dd57b733,1.0,1,,,,,,,,
95c9e14b-b73f-41c5-919a-d981545de214,1.0,1,,,,,,,,
05ad6b4c-943f-425b-9003-2bab6d1ff526,1.0,0,,,,,,,,
af369b59-7cd1-494b-bcb4-05fba5dc78a7,1.0,1,,,,,,,,
4fddb3af-559d-4af8-b172-3b00072d2415,1.0,1,,,,,,,,
829647ac-d202-4e6c-9ee1-430ebffcb484,1.0,0,,,,,,,,
fe969976-f3fb-4641-a96f-9765333526f7,1.0,1,,,,,,,,
cea96d76-457a-4163-bef5-c324d3d49da3,1.0,0,,,,,,,,
bc198818-309d-4696-a5fc-c2f57902869d,1.0,1,,,,,,,,
6c33303e-9a6b-46b1-817c-1ba77dc2909b,1.0,1,,,,,,,,
bca23069-d0b6-4a32-8a20-58a7375f7774,1.0,1,,,,,,,,
6ca2ca3d-45ba-41d0-8392-f7ce8d745ed8,1.0,1,,,,,,,,
080e6b4b-e0b1-4235-aac5-c2ecbda87ef5,1.0,1,,,,,,,,
293f953a-b45b-49c7-aabf-c93a5d1649fa,1.0,1,,,,,,,,
83097cd8-8c89-4913-86b5-21d9d7809e1f,1.0,1,,,,,,,,
ee591708-df6e-4feb-bb61-289968a38d7f,1.0,1,,,,,,,,
40fb4f55-ecbd-4b96-b538-6537f2665c75,1.0,1,,,,,,,,
91e3ba9f-0cbd-4cad-bcbe-33b14ff6e161,1.0,0,,,,,,,,
332cd0ac-30ce-4487-ad27-c41a7caa10bc,1.0,1,,,,,,,,
4013ac99-41c7-4bdd-83be-45a4157fbbee,1.0,1,,,,,,,,
a677c58c-c563-495a-b21c-95178c912d30,1.0,1,,,,,,,,
50b6bde8-a6e7-445a-acdd-ce419f77d318,1.0,0,,,,,,,,
2566d7d8-8888-4cc8-9f6e-742e17f3b627,1.0,1,,,,,,,,
ad872f38-3a34-4653-8f36-76c825f0e433,1.0,0,,,,,,,,
f3c2400e-7a0d-43ee-9914-bc9bcc7067ef,1.0,1,,,,,,,,
fefa0b7c-ed2b-408e-ac7f-cc230dcdaeaf,1.0,1,,,,,,,,
51770663-3a04-490d-bd75-9b3a69587193,1.0,1,,,,,,,,
7b852c18-39a6-44dc-9d66-0ba660fac2b9,1.0,1,,,,,,,,
4c420c6b-bed0-4e62-8b1c-08f4101ec844,1.0,0,,,,,,,,
a3257c05-bf8a-4754-b671-ecb2d3686ec6,1.0,1,,,,,,,,
63861b98-9fdf-41b5-841a-b6eb03fdb709,1.0,0,,,,,,,,
75d7b0e5-52fa-458e-bf1f-7812959b18db,1.0,1,,,,,,,,
0412089c-35de-43bc-b47e-fa14767fbf6a,1.0,1,,,,,,,,
7eb0271f-cc95-47c0-a551-a2989280b5f2,1.0,1,,,,,,,,
238d8004-cf92-481f-8b3b-b658c50f6ec1,1.0,1,,,,,,,,
56deb2b1-c8d0-42d2-a84e-7bfcec6c420f,1.0,0,,,,,,,,
c30a6e39-e39c-4396-99bd-b66bb09d7515,1.0,1,,,,,,,,
2d2a66d9-6722-44e1-b46e-0671735e4544,1.0,1,,,,,,,,
85495d58-f599-48f9-a4bd-7e3555f57ffa,1.0,1,,,,,,,,
4adcb7f3-ab96-49d9-ac46-1d597bb9d055,1.0,0,,,,,,,,
7a6b48d7-40fe-49a5-a296-b3748ee4abd1,1.0,1,,,,,,,,
627546e6-46f2-4d8e-8d1b-7d9a2f825eb0,1.0,1,,,,,,,,
0c553b2f-22ca-416a-8381-8f1b007dc870,1.0,1,,,,,,,,
9359d2c3-5b88-4a7b-b470-cc9f36128642,1.0,1,,,,,,,,
9c2d0280-3b56-4777-b7e2-2793b5833ddc,1.0,0,,,,,,,,
b10f69a8-e5c4-42ba-8ef8-32c325be575e,1.0,1,,,,,,,,
9ef95d94-8b0e-479b-96d3-306c81df64b5,1.0,0,,,,,,,,
0a583bbd-a287-4e66-8e86-f314b6be197f,1.0,1,,,,,,,,
0a2e31ca-0c09-47c8-bdd0-c0080fe71bde,1.0,0,,,,,,,,
f5540ba2-4e86-4f86-aa08-a3842f4a1d26,1.0,1,,,,,,,,
9501f2e5-9ddb-4538-8429-4a6fd0ae0095,1.0,1,,,,,,,,
131f6b62-97a7-4fae-b5e8-73df66a93e26,1.0,0,,,,,,,,
9b5de312-2179-416b-81c5-9818d287ea9b,1.0,1,,,,,,,,
3cdbbc07-c343-47b8-9fb3-cb8506167dae,1.0,0,,,,,,,,
8b3acc66-70e5-4aa5-838a-2c11abdb3155,1.0,1,,,,,,,,
f86b439c-4048-4712-b5ff-0a79f013dc77,1.0,0,,,,,,,,
978a987e-240f-4a27-9e98-4afd35251573,1.0,1,,,,,,,,
acb6eea9-0d7f-4990-b787-961ea77e2862,1.0,0,,,,,,,,
dc899ccc-36d5-472f-b721-4f40dcebdc23,1.0,1,,,,,,,,
e8a3b16d-5b26-46ce-8cd4-9783cc60fa74,1.0,1,,,,,,,,
aa260c80-3ead-4155-a3eb-b8285373a945,1.0,1,,,,,,,,
56ec45bb-a5ad-4ccd-9621-bc29a9ed6a4c,1.0,1,,,,,,,,
d80ddda6-cd54-4d2b-a69a-29ccf08bc388,1.0,1,,,,,,,,
f0e5c807-78f5-4b17-b4cc-8e6591efacf8,1.0,1,,,,,,,,
e1b210e1-2e7a-458f-ad4e-8fa993fa3730,1.0,1,,,,,,,,
edb4933c-2955-4065-8677-bb6ba5130341,1.0,1,,,,,,,,
