,Gender,Age,z,y,id
0,0,1,0_1,0.9859719438877755,7
1,1,0,1_0,0.9879759519038076,6
2,0,0,0_0,0.9979959919839679,1
3,0,1,0_1,0.969939879759519,15
4,1,0,1_0,0.9779559118236473,11
5,1,0,1_0,0.9739478957915831,13
6,0,0,0_0,0.9959919839679359,2
7,1,1,1_1,1.0,0
8,1,0,1_0,0.9719438877755511,14
9,0,0,0_0,0.9939879759519038,3
10,0,0,0_0,0.9799599198396793,10
11,1,1,1_1,0.9919839679358717,4
12,1,1,1_1,0.9899799599198397,5
13,1,1,1_1,0.9839679358717435,8
14,1,1,1_1,0.9819639278557114,9
15,1,1,1_1,0.9759519038076152,12
16,1,1,1_1,0.9679358717434869,16
17,1,1,1_1,0.9599198396793587,20
18,1,1,1_1,0.9579158316633266,21
19,1,1,1_1,0.9498997995991985,25
20,0,0,0_0,0.9559118236472945,22
21,0,0,0_0,0.9458917835671343,27
22,1,1,1_1,0.9338677354709419,33
23,1,1,1_1,0.9318637274549099,34
24,1,1,1_1,0.9278557114228457,36
25,1,0,1_0,0.9478957915831663,26
26,1,0,1_0,0.9438877755511023,28
27,1,0,1_0,0.9418837675350702,29
28,1,1,1_1,0.9178356713426854,41
29,0,0,0_0,0.9398797595190381,30
30,0,0,0_0,0.9218436873747495,39
31,0,0,0_0,0.8977955911823647,51
32,0,0,0_0,0.8917835671342685,54
33,0,0,0_0,0.8877755511022044,56
34,1,1,1_1,0.9158316633266533,42
35,0,0,0_0,0.8857715430861723,57
36,0,0,0_0,0.8837675350701403,58
37,1,1,1_1,0.9118236472945892,44
38,0,0,0_0,0.875751503006012,62
39,0,0,0_0,0.8657314629258517,67
40,1,1,1_1,0.905811623246493,47
41,0,0,0_0,0.8637274549098196,68
42,1,0,1_0,0.9378757515030061,31
43,0,1,0_1,0.9659318637274549,17
44,0,1,0_1,0.9639278557114228,18
45,1,0,1_0,0.935871743486974,32
46,1,0,1_0,0.9298597194388778,35
47,1,0,1_0,0.9258517034068137,37
48,1,0,1_0,0.9238476953907816,38
49,1,0,1_0,0.9198396793587175,40
50,0,0,0_0,0.8496993987975952,75
51,1,1,1_1,0.9018036072144289,49
52,0,1,0_1,0.9619238476953907,19
53,0,1,0_1,0.9539078156312625,23
54,0,1,0_1,0.9519038076152304,24
55,0,1,0_1,0.9078156312625251,46
56,0,0,0_0,0.8436873747494991,78
57,1,1,1_1,0.8937875751503006,53
58,0,0,0_0,0.8396793587174349,80
59,0,1,0_1,0.8997995991983968,50
60,0,1,0_1,0.8957915831663327,52
61,0,1,0_1,0.8797595190380761,60
62,0,1,0_1,0.8717434869739479,64
63,0,1,0_1,0.8597194388777555,70
64,1,1,1_1,0.87374749498998,63
65,0,1,0_1,0.8577154308617234,71
66,0,1,0_1,0.8517034068136273,74
67,0,1,0_1,0.8476953907815632,76
68,0,1,0_1,0.845691382765531,77
69,1,1,1_1,0.8697394789579158,65
70,0,1,0_1,0.8256513026052105,87
71,0,1,0_1,0.8156312625250501,92
72,1,0,1_0,0.9138276553106213,43
73,0,1,0_1,0.7935871743486974,103
74,0,1,0_1,0.7895791583166333,105
75,0,1,0_1,0.779559118236473,110
76,0,0,0_0,0.8236472945891784,88
77,0,0,0_0,0.8096192384769539,95
78,0,0,0_0,0.8076152304609219,96
79,1,0,1_0,0.9098196392785571,45
80,1,0,1_0,0.9038076152304609,48
81,0,0,0_0,0.7855711422845691,107
82,1,0,1_0,0.8897795591182365,55
83,1,0,1_0,0.8817635270541082,59
84,1,0,1_0,0.8777555110220441,61
85,0,0,0_0,0.7775551102204409,111
86,1,0,1_0,0.8557114228456915,72
87,1,1,1_1,0.8677354709418837,66
88,1,0,1_0,0.8416833667334669,79
89,1,1,1_1,0.8617234468937875,69
90,1,0,1_0,0.8376753507014028,81
91,1,0,1_0,0.8336673346693386,83
92,0,1,0_1,0.7715430861723447,114
93,1,1,1_1,0.8537074148296593,73
94,1,0,1_0,0.8316633266533067,84
95,0,0,0_0,0.7695390781563126,115
96,0,1,0_1,0.7595190380761523,120
97,1,0,1_0,0.8276553106212425,86
98,1,1,1_1,0.8356713426853708,82
99,0,1,0_1,0.751503006012024,124
