,Race,z,y,id
0,2,2,0.9779559118236473,11
1,1,1,0.9939879759519038,3
2,3,3,1.0,0
3,1,1,0.9839679358717435,8
4,1,1,0.9819639278557114,9
5,2,2,0.9659318637274549,17
6,1,1,0.9739478957915831,13
7,0,0,0.9959919839679359,2
8,0,0,0.9899799599198397,5
9,3,3,0.9979959919839679,1
10,0,0,0.9879759519038076,6
11,3,3,0.9919839679358717,4
12,0,0,0.9859719438877755,7
13,3,3,0.9799599198396793,10
14,3,3,0.9719438877755511,14
15,0,0,0.9759519038076152,12
16,3,3,0.969939879759519,15
17,0,0,0.9639278557114228,18
18,3,3,0.9579158316633266,21
19,1,1,0.9679358717434869,16
20,0,0,0.9498997995991985,25
21,3,3,0.9539078156312625,23
22,0,0,0.9318637274549099,34
23,3,3,0.9519038076152304,24
24,2,2,0.9599198396793587,20
25,3,3,0.9418837675350702,29
26,3,3,0.9098196392785571,45
27,3,3,0.8937875751503006,53
28,0,0,0.9238476953907816,38
29,0,0,0.9158316633266533,42
30,0,0,0.9078156312625251,46
31,0,0,0.9038076152304609,48
32,0,0,0.8897795591182365,55
33,0,0,0.8797595190380761,60
34,0,0,0.87374749498998,63
35,0,0,0.8637274549098196,68
36,0,0,0.8577154308617234,71
37,3,3,0.8917835671342685,54
38,2,2,0.9458917835671343,27
39,2,2,0.9378757515030061,31
40,0,0,0.8537074148296593,73
41,0,0,0.8517034068136273,74
42,2,2,0.935871743486974,32
43,0,0,0.845691382765531,77
44,0,0,0.8436873747494991,78
45,1,1,0.9619238476953907,19
46,3,3,0.8857715430861723,57
47,1,1,0.9559118236472945,22
48,1,1,0.9478957915831663,26
49,1,1,0.9438877755511023,28
50,3,3,0.8837675350701403,58
51,3,3,0.8717434869739479,64
52,0,0,0.8376753507014028,81
53,2,2,0.9338677354709419,33
54,2,2,0.9258517034068137,37
55,2,2,0.9138276553106213,43
56,2,2,0.905811623246493,47
57,2,2,0.875751503006012,62
58,1,1,0.9398797595190381,30
59,2,2,0.8597194388777555,70
60,2,2,0.8496993987975952,75
61,2,2,0.8316633266533067,84
62,1,1,0.9298597194388778,35
63,2,2,0.8196392785571143,90
64,1,1,0.9278557114228457,36
65,3,3,0.8697394789579158,65
66,2,2,0.8096192384769539,95
67,2,2,0.8076152304609219,96
68,2,2,0.8056112224448898,97
69,0,0,0.8176352705410822,91
70,2,2,0.7855711422845691,107
71,1,1,0.9218436873747495,39
72,2,2,0.7735470941883767,113
73,1,1,0.9198396793587175,40
74,2,2,0.7695390781563126,115
75,0,0,0.8156312625250501,92
76,3,3,0.8657314629258517,67
77,3,3,0.8557114228456915,72
78,3,3,0.8476953907815632,76
79,1,1,0.9178356713426854,41
80,1,1,0.9118236472945892,44
81,3,3,0.8416833667334669,79
82,1,1,0.9018036072144289,49
83,3,3,0.8396793587174349,80
84,3,3,0.8356713426853708,82
85,3,3,0.8336673346693386,83
86,3,3,0.8296593186372746,85
87,1,1,0.8997995991983968,50
88,0,0,0.7955911823647295,102
89,1,1,0.8977955911823647,51
90,2,2,0.7675350701402806,116
91,1,1,0.8957915831663327,52
92,1,1,0.8877755511022044,56
93,1,1,0.8817635270541082,59
94,2,2,0.7434869739478958,128
95,1,1,0.8777555110220441,61
96,1,1,0.8677354709418837,66
97,2,2,0.7234468937875751,138
98,2,2,0.719438877755511,140
99,1,1,0.8617234468937875,69
