,Race,z,y,id
0,2,2,0.9779559118236473,11
1,0,0,0.9959919839679359,2
2,1,1,0.9939879759519038,3
3,3,3,1.0,0
4,3,3,0.9979959919839679,1
5,1,1,0.9839679358717435,8
6,1,1,0.9819639278557114,9
7,0,0,0.9899799599198397,5
8,0,0,0.9879759519038076,6
9,1,1,0.9739478957915831,13
10,3,3,0.9919839679358717,4
11,1,1,0.9679358717434869,16
12,3,3,0.9799599198396793,10
13,1,1,0.9619238476953907,19
14,0,0,0.9859719438877755,7
15,3,3,0.9719438877755511,14
16,0,0,0.9759519038076152,12
17,3,3,0.969939879759519,15
18,2,2,0.9659318637274549,17
19,1,1,0.9559118236472945,22
20,0,0,0.9639278557114228,18
21,2,2,0.9599198396793587,20
22,3,3,0.9579158316633266,21
23,3,3,0.9539078156312625,23
24,2,2,0.9458917835671343,27
25,3,3,0.9519038076152304,24
26,0,0,0.9498997995991985,25
27,0,0,0.9318637274549099,34
28,0,0,0.9238476953907816,38
29,0,0,0.9158316633266533,42
30,0,0,0.9078156312625251,46
31,3,3,0.9418837675350702,29
32,1,1,0.9478957915831663,26
33,3,3,0.9098196392785571,45
34,3,3,0.8937875751503006,53
35,2,2,0.9378757515030061,31
36,2,2,0.935871743486974,32
37,2,2,0.9338677354709419,33
38,2,2,0.9258517034068137,37
39,2,2,0.9138276553106213,43
40,2,2,0.905811623246493,47
41,2,2,0.875751503006012,62
42,1,1,0.9438877755511023,28
43,3,3,0.8917835671342685,54
44,1,1,0.9398797595190381,30
45,0,0,0.9038076152304609,48
46,2,2,0.8597194388777555,70
47,2,2,0.8496993987975952,75
48,1,1,0.9298597194388778,35
49,1,1,0.9278557114228457,36
50,1,1,0.9218436873747495,39
51,3,3,0.8857715430861723,57
52,3,3,0.8837675350701403,58
53,1,1,0.9198396793587175,40
54,3,3,0.8717434869739479,64
55,3,3,0.8697394789579158,65
56,0,0,0.8897795591182365,55
57,3,3,0.8657314629258517,67
58,0,0,0.8797595190380761,60
59,2,2,0.8316633266533067,84
60,2,2,0.8196392785571143,90
61,3,3,0.8557114228456915,72
62,0,0,0.87374749498998,63
63,0,0,0.8637274549098196,68
64,3,3,0.8476953907815632,76
65,1,1,0.9178356713426854,41
66,0,0,0.8577154308617234,71
67,1,1,0.9118236472945892,44
68,2,2,0.8096192384769539,95
69,3,3,0.8416833667334669,79
70,0,0,0.8537074148296593,73
71,1,1,0.9018036072144289,49
72,1,1,0.8997995991983968,50
73,0,0,0.8517034068136273,74
74,2,2,0.8076152304609219,96
75,1,1,0.8977955911823647,51
76,3,3,0.8396793587174349,80
77,2,2,0.8056112224448898,97
78,3,3,0.8356713426853708,82
79,2,2,0.7855711422845691,107
80,1,1,0.8957915831663327,52
81,3,3,0.8336673346693386,83
82,1,1,0.8877755511022044,56
83,1,1,0.8817635270541082,59
84,1,1,0.8777555110220441,61
85,2,2,0.7735470941883767,113
86,2,2,0.7695390781563126,115
87,0,0,0.845691382765531,77
88,2,2,0.7675350701402806,116
89,0,0,0.8436873747494991,78
90,2,2,0.7434869739478958,128
91,1,1,0.8677354709418837,66
92,2,2,0.7234468937875751,138
93,0,0,0.8376753507014028,81
94,0,0,0.8176352705410822,91
95,3,3,0.8296593186372746,85
96,0,0,0.8156312625250501,92
97,0,0,0.7955911823647295,102
98,1,1,0.8617234468937875,69
99,2,2,0.719438877755511,140
