,Race,Age,z,y,id
0,0,1,0_1,0.8617234468937875,69
1,1,2,1_2,0.9979959919839679,1
2,2,0,2_0,0.9879759519038076,6
3,0,0,0_0,0.9919839679358717,4
4,2,1,2_1,0.9939879759519038,3
5,0,0,0_0,0.9899799599198397,5
6,0,2,0_2,0.9719438877755511,14
7,0,0,0_0,0.9859719438877755,7
8,2,2,2_2,0.9679358717434869,16
9,1,0,1_0,0.9959919839679359,2
10,2,1,2_1,0.9779559118236473,11
11,0,0,0_0,0.9639278557114228,18
12,1,1,1_1,1.0,0
13,2,1,2_1,0.9619238476953907,19
14,1,1,1_1,0.969939879759519,15
15,0,2,0_2,0.9559118236472945,22
16,1,0,1_0,0.9498997995991985,25
17,0,2,0_2,0.9438877755511023,28
18,2,1,2_1,0.9599198396793587,20
19,1,1,1_1,0.875751503006012,62
20,1,1,1_1,0.8677354709418837,66
21,1,0,1_0,0.9158316633266533,42
22,1,0,1_0,0.8797595190380761,60
23,1,1,1_1,0.8336673346693386,83
24,1,0,1_0,0.8396793587174349,80
25,1,1,1_1,0.8296593186372746,85
26,0,2,0_2,0.9278557114228457,36
27,0,2,0_2,0.9118236472945892,44
28,2,2,2_2,0.9478957915831663,26
29,2,2,2_2,0.9398797595190381,30
30,1,0,1_0,0.8236472945891784,88
31,1,1,1_1,0.8256513026052105,87
32,2,1,2_1,0.9539078156312625,23
33,2,2,2_2,0.9138276553106213,43
34,2,0,2_0,0.9759519038076152,12
35,2,1,2_1,0.9519038076152304,24
36,0,2,0_2,0.8877755511022044,56
37,2,2,2_2,0.8977955911823647,51
38,2,2,2_2,0.8837675350701403,58
39,2,0,2_0,0.9739478957915831,13
40,2,0,2_0,0.935871743486974,32
41,0,2,0_2,0.8857715430861723,57
42,1,1,1_1,0.8136272545090181,93
43,1,0,1_0,0.8196392785571143,90
44,0,2,0_2,0.8717434869739479,64
45,2,2,2_2,0.8537074148296593,73
46,2,2,2_2,0.8156312625250501,92
47,2,2,2_2,0.7955911823647295,102
48,2,2,2_2,0.7855711422845691,107
49,2,2,2_2,0.7835671342685371,108
50,1,0,1_0,0.8076152304609219,96
51,2,2,2_2,0.7715430861723447,114
52,0,2,0_2,0.8557114228456915,72
53,1,0,1_0,0.8016032064128257,99
54,1,0,1_0,0.7935871743486974,103
55,0,2,0_2,0.8476953907815632,76
56,2,2,2_2,0.7575150300601202,121
57,1,1,1_1,0.7975951903807615,101
58,0,1,0_1,0.8517034068136273,74
59,2,2,2_2,0.7414829659318638,129
60,2,2,2_2,0.7354709418837675,132
61,0,0,0_0,0.9418837675350702,29
62,0,0,0_0,0.9378757515030061,31
63,2,1,2_1,0.9298597194388778,35
64,2,0,2_0,0.9038076152304609,48
65,2,0,2_0,0.8697394789579158,65
66,2,1,2_1,0.9218436873747495,39
67,1,1,1_1,0.7915831663326653,104
68,2,0,2_0,0.8637274549098196,68
69,1,1,1_1,0.7895791583166333,105
70,1,1,1_1,0.7675350701402806,116
71,2,0,2_0,0.7995991983967936,100
72,1,2,1_2,0.9839679358717435,8
73,1,2,1_2,0.9819639278557114,9
74,2,0,2_0,0.7875751503006012,106
75,1,2,1_2,0.9799599198396793,10
76,2,0,2_0,0.781563126252505,109
77,2,0,2_0,0.7735470941883767,113
78,1,0,1_0,0.719438877755511,140
79,2,1,2_1,0.9198396793587175,40
