,lsat,gender,race1,z,id,quality,quality_norm
0,48.0,male,white,white,13582,1.0,1.0
1,48.0,male,white,white,31,1.0,1.0
2,48.0,female,white,white,8701,1.0,1.0
3,48.0,female,white,white,8951,1.0,1.0
4,48.0,male,white,white,4,1.0,1.0
5,48.0,male,white,white,18937,1.0,1.0
6,48.0,female,white,white,13364,1.0,1.0
7,48.0,male,white,white,20887,1.0,1.0
8,48.0,female,white,white,13499,1.0,1.0
9,48.0,male,white,white,13411,1.0,1.0
10,48.0,male,white,white,20900,1.0,1.0
11,48.0,female,white,white,18709,1.0,1.0
12,48.0,female,white,white,2568,1.0,1.0
13,48.0,male,white,white,13341,1.0,1.0
14,48.0,male,white,white,21311,1.0,1.0
15,48.0,female,white,white,685,1.0,1.0
16,48.0,female,white,white,20410,1.0,1.0
17,48.0,male,white,white,20449,1.0,1.0
18,48.0,male,white,white,20919,1.0,1.0
19,48.0,male,white,white,9124,1.0,1.0
20,48.0,male,white,white,9091,1.0,1.0
21,48.0,male,white,white,8651,1.0,1.0
22,48.0,female,white,white,6181,1.0,1.0
23,48.0,female,white,white,1154,1.0,1.0
24,48.0,male,white,white,20952,1.0,1.0
25,48.0,male,white,white,9290,1.0,1.0
26,48.0,male,white,white,13316,1.0,1.0
27,48.0,male,white,white,20959,1.0,1.0
28,48.0,male,white,white,13342,1.0,1.0
29,48.0,female,white,white,13277,1.0,1.0
30,48.0,male,white,white,21255,1.0,1.0
31,48.0,male,white,white,21304,1.0,1.0
32,48.0,male,white,white,692,1.0,1.0
33,48.0,male,white,white,14225,1.0,1.0
34,48.0,female,white,white,14529,1.0,1.0
35,48.0,male,white,white,14531,1.0,1.0
36,48.0,male,white,white,1538,1.0,1.0
37,48.0,female,white,white,5090,1.0,1.0
38,48.0,male,white,white,14326,1.0,1.0
39,48.0,female,white,white,21241,1.0,1.0
40,48.0,female,white,white,21244,1.0,1.0
41,48.0,male,white,white,20498,1.0,1.0
42,48.0,female,white,white,4988,1.0,1.0
43,48.0,female,white,white,14537,1.0,1.0
44,48.0,male,white,white,652,1.0,1.0
45,48.0,male,white,white,1615,1.0,1.0
46,48.0,male,white,white,5062,1.0,1.0
47,48.0,male,white,white,21252,1.0,1.0
48,48.0,female,white,white,20483,1.0,1.0
49,48.0,male,white,white,231,1.0,1.0
50,48.0,male,white,white,19372,1.0,1.0
51,48.0,male,white,white,3150,1.0,1.0
52,48.0,male,white,white,3166,1.0,1.0
53,48.0,male,white,white,9261,1.0,1.0
54,48.0,female,white,white,9226,1.0,1.0
55,48.0,female,white,white,3205,1.0,1.0
56,48.0,male,white,white,3196,1.0,1.0
57,48.0,female,white,white,9332,1.0,1.0
58,48.0,female,white,white,6191,1.0,1.0
59,48.0,male,white,white,13197,1.0,1.0
60,48.0,male,white,white,3249,1.0,1.0
61,48.0,male,white,white,2970,1.0,1.0
62,48.0,female,white,white,3031,1.0,1.0
63,48.0,female,white,white,196,1.0,1.0
64,48.0,female,white,white,22093,1.0,1.0
65,48.0,male,white,white,9375,1.0,1.0
66,48.0,male,white,white,13189,1.0,1.0
67,48.0,female,white,white,2190,1.0,1.0
68,48.0,female,white,white,2177,1.0,1.0
69,48.0,female,white,white,5867,1.0,1.0
70,48.0,female,white,white,17316,1.0,1.0
71,48.0,male,white,white,19452,1.0,1.0
72,48.0,male,white,white,9239,1.0,1.0
73,48.0,female,white,white,13630,1.0,1.0
74,48.0,male,white,white,13588,1.0,1.0
75,48.0,female,white,white,17152,1.0,1.0
76,48.0,female,white,white,2109,1.0,1.0
77,48.0,female,white,white,9672,1.0,1.0
78,48.0,male,white,white,3455,1.0,1.0
79,48.0,female,white,white,3481,1.0,1.0
80,48.0,female,white,white,17016,1.0,1.0
81,48.0,male,white,white,247,1.0,1.0
82,48.0,male,white,white,13545,1.0,1.0
83,48.0,male,white,white,3280,1.0,1.0
84,48.0,female,white,white,3271,1.0,1.0
85,48.0,male,white,white,570,1.0,1.0
86,48.0,female,white,white,5031,1.0,1.0
87,48.0,male,white,white,14525,1.0,1.0
88,48.0,female,white,white,14274,1.0,1.0
89,48.0,female,white,white,20490,1.0,1.0
90,48.0,male,white,white,640,1.0,1.0
91,48.0,female,white,white,781,1.0,1.0
92,48.0,female,white,white,6855,1.0,1.0
93,48.0,female,white,white,12103,1.0,1.0
94,48.0,female,white,white,14192,1.0,1.0
95,48.0,male,white,white,14474,1.0,1.0
96,48.0,male,white,white,6932,1.0,1.0
97,48.0,male,white,white,6936,1.0,1.0
98,48.0,male,white,white,12014,1.0,1.0
99,48.0,male,white,white,12041,1.0,1.0
100,48.0,male,white,white,12034,1.0,1.0
101,48.0,male,white,white,14579,1.0,1.0
102,48.0,male,white,white,14593,1.0,1.0
103,48.0,male,white,white,10890,1.0,1.0
104,48.0,female,white,white,14554,1.0,1.0
105,48.0,female,white,white,14193,1.0,1.0
106,48.0,female,white,white,20543,1.0,1.0
107,48.0,male,white,white,17049,1.0,1.0
108,48.0,male,white,white,13140,1.0,1.0
109,48.0,male,white,white,1003,1.0,1.0
110,48.0,female,white,white,17018,1.0,1.0
111,48.0,female,white,white,13702,1.0,1.0
112,48.0,female,white,white,13120,1.0,1.0
113,48.0,female,white,white,13647,1.0,1.0
114,48.0,male,white,white,13116,1.0,1.0
115,48.0,female,white,white,13110,1.0,1.0
116,48.0,female,white,white,20764,1.0,1.0
117,48.0,male,white,white,6235,1.0,1.0
118,48.0,male,white,white,5800,1.0,1.0
119,48.0,female,white,white,5810,1.0,1.0
120,48.0,male,white,white,10804,1.0,1.0
121,48.0,female,white,white,21374,1.0,1.0
122,48.0,female,white,white,14585,1.0,1.0
123,48.0,male,white,white,4973,1.0,1.0
124,48.0,male,white,white,21160,1.0,1.0
125,48.0,male,hisp,hisp,6165,1.0,1.0
126,48.0,female,hisp,hisp,20723,1.0,1.0
127,48.0,female,hisp,hisp,19690,1.0,1.0
128,48.0,male,hisp,hisp,16237,1.0,1.0
129,48.0,male,hisp,hisp,21114,1.0,1.0
130,48.0,male,hisp,hisp,8756,1.0,1.0
131,48.0,female,asian,asian,20897,1.0,1.0
132,48.0,male,asian,asian,13335,1.0,1.0
133,48.0,male,asian,asian,20841,1.0,1.0
134,48.0,female,asian,asian,13631,1.0,1.0
135,48.0,male,asian,asian,14263,1.0,1.0
136,48.0,male,asian,asian,13072,1.0,1.0
137,48.0,male,asian,asian,4862,1.0,1.0
138,48.0,male,asian,asian,1669,1.0,1.0
139,48.0,female,asian,asian,21431,1.0,1.0
140,48.0,female,asian,asian,9780,1.0,1.0
141,48.0,female,asian,asian,14850,1.0,1.0
142,48.0,female,asian,asian,1403,1.0,1.0
143,48.0,female,asian,asian,1854,1.0,1.0
144,47.0,male,black,black,1997,0.972972972972973,1.0
145,47.0,male,black,black,21740,0.972972972972973,1.0
146,47.0,male,hisp,hisp,11852,0.972972972972973,0.9722222222222223
147,47.0,male,hisp,hisp,10068,0.972972972972973,0.9722222222222223
148,47.0,male,hisp,hisp,15893,0.972972972972973,0.9722222222222223
149,47.0,male,hisp,hisp,13543,0.972972972972973,0.9722222222222223
150,47.0,female,hisp,hisp,4881,0.972972972972973,0.9722222222222223
151,47.0,male,hisp,hisp,12514,0.972972972972973,0.9722222222222223
152,47.0,female,hisp,hisp,21461,0.972972972972973,0.9722222222222223
153,46.0,female,black,black,6460,0.9459459459459459,0.9722222222222222
154,46.0,female,black,black,6976,0.9459459459459459,0.9722222222222222
155,46.0,male,black,black,5527,0.9459459459459459,0.9722222222222222
156,46.0,male,black,black,16373,0.9459459459459459,0.9722222222222222
157,47.0,female,asian,asian,9756,0.972972972972973,0.9655172413793104
158,47.0,male,asian,asian,9733,0.972972972972973,0.9655172413793104
159,47.0,female,asian,asian,5099,0.972972972972973,0.9655172413793104
160,47.0,male,asian,asian,11850,0.972972972972973,0.9655172413793104
161,47.0,male,asian,asian,10109,0.972972972972973,0.9655172413793104
162,47.0,female,asian,asian,14057,0.972972972972973,0.9655172413793104
163,47.0,male,asian,asian,717,0.972972972972973,0.9655172413793104
164,47.0,male,asian,asian,5657,0.972972972972973,0.9655172413793104
165,47.0,female,asian,asian,20551,0.972972972972973,0.9655172413793104
