,gender,age_cat,quality,id,z,quality_norm
0,male,old,0.978037641482944,373,old_male,1.0
1,female,young,0.7791482566228939,134,young_female,1.0
2,male,middle,0.9054719539850689,672,middle_male,1.0
3,female,middle,0.7468863993794834,18,middle_female,1.0
4,male,young,0.8970728502588213,637,young_male,1.0
5,female,old,1.0,374,old_female,1.0
6,female,middle,0.7418502109731208,915,middle_female,0.9930974675038212
7,male,middle,0.8622670072288672,714,middle_male,0.9518543762339006
8,male,middle,0.8506951221201319,832,middle_male,0.9389591948128119
9,male,middle,0.8397775307015942,973,middle_male,0.926793128463165
10,female,middle,0.6728393040846058,491,middle_female,0.8985120411947246
11,female,middle,0.6578591737106465,375,middle_female,0.8779804747877544
12,male,old,0.852763300876253,378,old_male,0.8703892361445845
13,female,young,0.6750266313428872,130,young_female,0.8643889067236068
14,male,middle,0.7811004347897259,538,middle_male,0.8614060467615857
15,male,middle,0.7790631055797386,854,middle_male,0.8591357399334062
16,female,middle,0.6436890013183459,153,middle_female,0.8585590259613487
17,male,middle,0.7705435941861827,902,middle_male,0.8496419846803399
18,male,middle,0.7698623858409399,467,middle_male,0.8488828771438476
19,male,old,0.8299094534341841,29,old_male,0.8467442932963004
20,male,middle,0.7662581829995078,921,middle_male,0.8448665177450158
21,female,middle,0.628366220628399,211,middle_female,0.837557827612503
22,male,middle,0.7472710743322961,509,middle_male,0.8237081491106093
23,male,middle,0.7453793360925839,744,middle_male,0.8216000822249568
24,female,middle,0.6150266250470613,292,middle_female,0.8192747562584335
25,female,middle,0.6125947049587184,116,middle_female,0.8159415990999981
26,male,middle,0.7393427409758783,205,middle_male,0.814873175721468
27,male,middle,0.7318853353849332,763,middle_male,0.8065629827734506
28,male,middle,0.7279845991510709,226,middle_male,0.8022161800754618
29,male,old,0.7782320565818451,294,old_male,0.7932780619223925
30,male,middle,0.7193623084022832,653,middle_male,0.7926078921926983
31,male,young,0.713500894636838,242,young_male,0.7907833071373502
32,male,middle,0.7137711429567968,927,middle_male,0.7863773522160749
33,male,middle,0.7121657073926846,657,middle_male,0.7845883279849695
34,female,middle,0.5890571308411098,870,middle_female,0.7836813147105681
35,female,middle,0.586479619782492,73,middle_female,0.7801486125148178
36,female,middle,0.5864498720058626,833,middle_female,0.7801078406098959
37,male,middle,0.7048705767102296,868,middle_male,0.7764589667999197
38,female,middle,0.5759736179718122,912,middle_female,0.765749226897808
39,male,old,0.750447318418942,701,old_male,0.7645315435262362
40,male,middle,0.6935986876980825,395,middle_male,0.7638980873577025
41,male,old,0.7481568970141418,788,old_male,0.7621618382347194
42,female,young,0.5955629223712094,333,young_female,0.7608930150635715
43,male,middle,0.6878529597306394,888,middle_male,0.757495309950202
44,male,young,0.6829414286739607,887,young_male,0.7559547278876544
45,female,old,0.7522668120582692,728,old_female,0.7522668120582692
46,male,middle,0.6829681859333625,549,middle_male,0.752051940635265
47,male,middle,0.6812171593989753,266,middle_male,0.7501006764616328
48,female,old,0.7464230266049005,44,old_female,0.7464230266049005
49,female,middle,0.5604204100597223,121,middle_female,0.7444322080790934
50,male,middle,0.6738145274919823,787,middle_male,0.7418515208109121
51,male,middle,0.6713276763240436,415,middle_male,0.7390802871980231
52,male,old,0.7246923544751359,828,old_male,0.7378850608254756
53,male,middle,0.6685235155387276,778,middle_male,0.7359554582076925
54,male,middle,0.6638570494990412,501,middle_male,0.7307553611092793
55,male,middle,0.6561627634645678,63,middle_male,0.7221811993899078
56,female,middle,0.5400981141483574,705,middle_female,0.7165787410110355
57,female,middle,0.5378158773170213,770,middle_female,0.7134507377233961
58,male,middle,0.6478757254365212,542,middle_male,0.7129465018612868
59,male,middle,0.6431747897508994,552,middle_male,0.7077079933602646
60,male,middle,0.6420231258271141,328,middle_male,0.706424631566245
61,male,old,0.693505352081463,917,old_male,0.7056185074113543
62,male,old,0.6915171303122605,115,old_male,0.7035614625211373
63,female,middle,0.5281920780883859,826,middle_female,0.7002604871703327
64,male,young,0.6337776402489621,706,young_male,0.6999228291805435
65,male,middle,0.6357003854304519,684,middle_male,0.6993788578027416
66,female,young,0.5461842888927783,802,young_female,0.696580818125649
67,male,young,0.6308198613155506,812,young_male,0.696551852799263
68,male,old,0.6832633027650008,293,old_male,0.6950219253106411
69,male,middle,0.6277500166839383,3,middle_male,0.6905193291790555
70,female,middle,0.5206144222257759,537,middle_female,0.6898746533579116
71,male,young,0.6231565822228546,805,young_male,0.687818024678159
72,male,old,0.6745473616083065,715,old_male,0.6860042782364911
73,male,middle,0.6232288268232397,877,middle_male,0.685481121234104
74,male,middle,0.6224714389865231,51,middle_male,0.6846371227439001
75,female,middle,0.5139101547891718,753,middle_female,0.6806858740450153
76,female,middle,0.5051720208467383,437,middle_female,0.6687095044919207
77,female,middle,0.5041149517047208,319,middle_female,0.667260699658832
78,male,young,0.6045395107136068,677,young_male,0.6666001751501353
79,male,old,0.6533853599386535,650,old_male,0.6641097451036079
80,female,young,0.5197279699613563,410,young_female,0.6621233235877877
