,gender,age_cat,quality,id,z,quality_norm
0,male,old,0.978037641482944,373,male,1.0
1,female,old,1.0,374,female,1.0
2,male,middle,0.9054719539850689,672,male,0.9251858669702677
3,male,young,0.8970728502588213,637,male,0.9165265172807275
4,male,middle,0.8622670072288672,714,male,0.8806422163054047
5,male,old,0.852763300876253,378,male,0.8708440379120586
6,male,middle,0.8506951221201319,832,male,0.8687117767025959
7,male,middle,0.8397775307015942,973,male,0.8574559040592801
8,male,old,0.8299094534341841,29,male,0.8472820647298681
9,male,middle,0.7811004347897259,538,male,0.7969607001865486
10,male,middle,0.7790631055797386,854,male,0.7948602443954309
11,male,old,0.7782320565818451,294,male,0.794003445370624
12,male,middle,0.7705435941861827,902,male,0.7860767562108193
13,male,middle,0.7698623858409399,467,male,0.7853744406465459
14,male,middle,0.7662581829995078,921,male,0.7816585616940734
15,female,young,0.7791482566228939,134,female,0.7791482566228939
16,male,old,0.750447318418942,701,male,0.7653577979745791
17,male,old,0.7481568970141418,788,male,0.7629964079349976
18,male,middle,0.7472710743322961,509,male,0.7620831380653736
19,male,middle,0.7453793360925839,744,male,0.76013278437614
20,male,middle,0.7393427409758783,205,male,0.7539091455506817
21,female,old,0.7522668120582692,728,female,0.7522668120582692
22,female,middle,0.7468863993794834,18,female,0.7468863993794834
23,female,old,0.7464230266049005,44,female,0.7464230266049005
24,male,middle,0.7318853353849332,763,male,0.7462206724833801
25,male,middle,0.7279845991510709,226,male,0.7421990720606926
26,female,middle,0.7418502109731208,915,female,0.7418502109731208
27,male,old,0.7246923544751359,828,male,0.7388048172876079
28,male,middle,0.7193623084022832,653,male,0.7333096199057781
29,male,middle,0.7137711429567968,927,male,0.7275452123758128
30,male,young,0.713500894636838,242,male,0.727266590420208
31,male,middle,0.7121657073926846,657,male,0.7258900324415267
32,male,middle,0.7048705767102296,868,male,0.718368862365622
33,male,middle,0.6935986876980825,395,male,0.7067477142289653
34,male,old,0.693505352081463,917,male,0.7066514866112171
35,male,old,0.6915171303122605,115,male,0.7046016598533836
36,male,middle,0.6878529597306394,888,male,0.7008239550621893
37,male,old,0.6832633027650008,293,male,0.696092087720642
38,male,middle,0.6829681859333625,549,male,0.69578782670331
39,male,young,0.6829414286739607,887,male,0.695760240371072
40,male,middle,0.6812171593989753,266,male,0.69398254466714
41,male,old,0.6745473616083065,715,male,0.6871060834028943
42,male,middle,0.6738145274919823,787,male,0.6863505424446554
43,male,middle,0.6713276763240436,415,male,0.6837866362719375
44,male,middle,0.6685235155387276,778,male,0.6808955886533846
45,male,middle,0.6638570494990412,501,male,0.6760845323110597
46,female,young,0.6750266313428872,130,female,0.6750266313428872
47,female,middle,0.6728393040846058,491,female,0.6728393040846058
48,male,middle,0.6561627634645678,63,male,0.6681518390671796
49,male,old,0.6533853599386535,650,male,0.6652883777808646
50,male,middle,0.6478757254365212,542,male,0.6596080274279543
51,female,middle,0.6578591737106465,375,female,0.6578591737106465
52,male,middle,0.6431747897508994,552,male,0.6547614333988049
