,lsat,gender,race1,z,id,quality,quality_norm
0,48.0,female,white,female,40,1.0,1.0
1,48.0,female,white,female,12906,1.0,1.0
2,48.0,female,white,female,13910,1.0,1.0
3,48.0,female,hisp,female,19690,1.0,1.0
4,48.0,female,white,female,17018,1.0,1.0
5,48.0,female,white,female,17016,1.0,1.0
6,48.0,female,white,female,9944,1.0,1.0
7,48.0,female,white,female,2303,1.0,1.0
8,48.0,female,white,female,15055,1.0,1.0
9,48.0,female,white,female,15022,1.0,1.0
10,48.0,female,white,female,2568,1.0,1.0
11,48.0,female,white,female,196,1.0,1.0
12,48.0,female,white,female,13040,1.0,1.0
13,48.0,female,white,female,9940,1.0,1.0
14,48.0,female,white,female,20764,1.0,1.0
15,48.0,female,white,female,1154,1.0,1.0
16,48.0,female,asian,female,21431,1.0,1.0
17,48.0,female,other,female,7266,1.0,1.0
18,48.0,female,white,female,21374,1.0,1.0
19,48.0,female,white,female,17152,1.0,1.0
20,48.0,female,white,female,5090,1.0,1.0
21,48.0,female,white,female,5054,1.0,1.0
22,48.0,female,white,female,13080,1.0,1.0
23,48.0,female,white,female,5461,1.0,1.0
24,48.0,female,white,female,9672,1.0,1.0
25,48.0,female,white,female,13702,1.0,1.0
26,48.0,female,white,female,7888,1.0,1.0
27,48.0,female,white,female,7903,1.0,1.0
28,48.0,female,white,female,6855,1.0,1.0
29,48.0,female,white,female,17316,1.0,1.0
30,48.0,female,white,female,9527,1.0,1.0
31,48.0,female,asian,female,14850,1.0,1.0
32,48.0,female,asian,female,20897,1.0,1.0
33,48.0,female,white,female,5031,1.0,1.0
34,48.0,female,white,female,10049,1.0,1.0
35,48.0,female,hisp,female,20723,1.0,1.0
36,48.0,female,white,female,20704,1.0,1.0
37,48.0,female,white,female,14124,1.0,1.0
38,48.0,female,white,female,13647,1.0,1.0
39,48.0,female,white,female,1371,1.0,1.0
40,48.0,female,asian,female,13631,1.0,1.0
41,48.0,female,asian,female,1403,1.0,1.0
42,48.0,female,white,female,14192,1.0,1.0
43,48.0,female,white,female,14193,1.0,1.0
44,48.0,female,white,female,2177,1.0,1.0
45,48.0,female,white,female,5553,1.0,1.0
46,48.0,female,white,female,20663,1.0,1.0
47,48.0,female,white,female,13110,1.0,1.0
48,48.0,female,white,female,4988,1.0,1.0
49,48.0,female,white,female,14842,1.0,1.0
50,48.0,female,white,female,2190,1.0,1.0
51,48.0,female,white,female,3569,1.0,1.0
52,48.0,female,white,female,781,1.0,1.0
53,48.0,female,white,female,13630,1.0,1.0
54,48.0,female,white,female,3506,1.0,1.0
55,48.0,female,white,female,11028,1.0,1.0
56,48.0,female,white,female,3481,1.0,1.0
57,48.0,female,white,female,14274,1.0,1.0
58,48.0,female,white,female,6715,1.0,1.0
59,48.0,female,white,female,12103,1.0,1.0
60,48.0,female,white,female,328,1.0,1.0
61,48.0,female,white,female,13120,1.0,1.0
62,48.0,female,white,female,5585,1.0,1.0
63,48.0,female,white,female,21241,1.0,1.0
64,48.0,female,white,female,21244,1.0,1.0
65,48.0,female,white,female,8701,1.0,1.0
66,48.0,female,white,female,14360,1.0,1.0
67,48.0,female,white,female,685,1.0,1.0
68,48.0,female,white,female,13499,1.0,1.0
69,48.0,female,white,female,21202,1.0,1.0
70,48.0,female,white,female,10822,1.0,1.0
71,48.0,female,white,female,10249,1.0,1.0
72,48.0,female,white,female,9332,1.0,1.0
73,48.0,female,white,female,10239,1.0,1.0
74,48.0,female,white,female,2109,1.0,1.0
75,48.0,female,white,female,3271,1.0,1.0
