,Sex_Code_Text,Ethnic_Code_Text,DateOfBirth,RawScore,z,id,quality
0,Male,Hispanic,03/11/56,2.97,Hispanic,50836,0.9569120287253141
1,Male,Hispanic,03/24/49,2.95,Hispanic,22657,0.9533213644524238
2,Male,Hispanic,08/16/55,2.93,Hispanic,14416,0.9497307001795332
3,Male,Hispanic,11/23/47,2.85,Hispanic,13603,0.9353680430879712
4,Male,Oriental,01/19/70,2.29,Oriental,31471,0.8348294434470377
5,Male,Arabic,09/27/39,2.83,Arabic,24421,0.9317773788150806
6,Male,African-American,06/01/45,3.04,African-American,42010,0.9694793536804309
7,Male,Native American,03/05/70,2.43,Native American,60391,0.8599640933572711
8,Male,Oriental,06/27/63,1.79,Oriental,2191,0.7450628366247756
9,Female,Native American,11/12/59,2.4,Native American,47548,0.8545780969479353
10,Male,Asian,10/07/48,2.54,Asian,20113,0.8797127468581688
11,Male,Arabic,06/15/68,2.43,Arabic,53152,0.8599640933572711
12,Male,Arabic,06/24/67,2.12,Arabic,23149,0.8043087971274686
13,Male,Arabic,04/20/57,2.09,Arabic,55240,0.7989228007181327
14,Male,Asian,09/13/49,2.52,Asian,18139,0.8761220825852782
15,Male,Asian,10/06/64,2.51,Asian,49714,0.8743267504488329
16,Male,African-American,11/05/54,2.97,African-American,40231,0.9569120287253141
17,Male,Asian,03/09/53,2.47,Asian,21532,0.867145421903052
18,Male,Asian,01/14/68,2.47,Asian,55009,0.867145421903052
19,Male,Arabic,04/19/78,2.01,Arabic,4813,0.7845601436265708
20,Male,Arabic,06/07/75,1.97,Arabic,9541,0.7773788150807899
21,Male,Asian,11/21/54,2.46,Asian,54046,0.8653500897666069
22,Male,Arabic,07/02/75,1.86,Arabic,20254,0.7576301615798922
23,Female,Arabic,07/27/86,1.46,Arabic,25924,0.6858168761220825
24,Male,Arabic,05/01/78,1.35,Arabic,43120,0.6660682226211849
25,Male,Asian,11/12/63,2.39,Asian,28147,0.8527827648114901
26,Male,Asian,07/11/55,2.37,Asian,24418,0.8491921005385997
27,Male,Arabic,07/21/82,1.19,Arabic,57058,0.637342908438061
28,Male,Asian,06/01/50,2.36,Asian,44152,0.8473967684021543
29,Male,Oriental,12/08/79,1.79,Oriental,15838,0.7450628366247756
30,Female,Oriental,05/30/67,1.45,Oriental,30001,0.6840215439856372
31,Male,Asian,08/31/59,2.34,Asian,35380,0.8438061041292637
32,Male,Oriental,01/19/83,1.19,Oriental,27592,0.637342908438061
33,Male,Native American,03/27/65,2.13,Native American,32629,0.8061041292639138
34,Female,Oriental,02/04/87,1.15,Oriental,46165,0.63016157989228
35,Male,Native American,06/05/69,1.93,Native American,18103,0.770197486535009
36,Male,Oriental,11/27/79,1.14,Oriental,38524,0.6283662477558348
37,Male,African-American,08/02/50,2.95,African-American,47128,0.9533213644524238
38,Male,Oriental,09/21/77,0.94,Oriental,56599,0.59245960502693
39,Female,Native American,07/14/70,1.55,Native American,6715,0.7019748653500898
40,Male,Oriental,04/07/90,0.76,Oriental,2932,0.5601436265709157
41,Male,African-American,01/06/47,2.94,African-American,51328,0.9515260323159783
42,Male,Native American,04/17/66,1.52,Native American,57424,0.696588868940754
43,Male,Native American,05/01/55,1.49,Native American,11935,0.6912028725314182
44,Male,Native American,12/23/86,1.39,Native American,49729,0.6732495511669658
45,Male,Native American,12/24/74,1.37,Native American,53062,0.6696588868940754
46,Female,Native American,03/23/89,1.27,Native American,42676,0.6517055655296229
47,Male,Native American,06/02/85,1.26,Native American,17872,0.6499102333931778
48,Male,African-American,11/12/45,2.94,African-American,6397,0.9515260323159783
49,Male,African-American,08/15/53,2.91,African-American,33760,0.9461400359066426
50,Male,Oriental,03/12/91,0.7,Oriental,44062,0.5493716337522441
51,Female,Oriental,08/11/89,0.67,Oriental,34840,0.5439856373429084
52,Female,Native American,02/24/91,1.18,Native American,52714,0.6355475763016157
53,Male,African-American,08/24/50,2.87,African-American,48532,0.9389587073608617
54,Male,Oriental,07/11/92,0.36,Oriental,59635,0.48833034111310586
55,Male,Oriental,03/18/96,-0.68,Oriental,47791,0.30161579892280066
56,Male,African-American,01/22/38,2.82,African-American,8566,0.9299820466786355
57,Male,Native American,02/12/74,1.17,Native American,4135,0.6337522441651705
58,Male,African-American,02/12/50,2.81,African-American,13054,0.9281867145421903
59,Female,African-American,09/24/56,2.81,African-American,27061,0.9281867145421903
60,Male,African-American,07/29/38,2.8,African-American,39745,0.926391382405745
61,Male,African-American,06/18/50,2.78,African-American,46597,0.9228007181328545
62,Male,Arabic,10/01/67,1.03,Arabic,7705,0.6086175942549371
63,Male,African-American,11/24/50,2.76,African-American,43327,0.9192100538599639
64,Male,Arabic,08/22/91,0.96,Arabic,48739,0.5960502692998204
65,Male,Asian,05/12/65,2.33,Asian,37864,0.8420107719928185
66,Male,Arabic,03/14/93,0.78,Arabic,48937,0.563734290843806
67,Female,Asian,09/01/66,2.26,Asian,47911,0.8294434470377018
68,Male,Asian,10/25/55,2.25,Asian,46255,0.8276481149012566
69,Male,Caucasian,07/20/44,3.1,Caucasian,57880,0.9802513464991023
70,Male,Caucasian,03/06/44,3.05,Caucasian,41305,0.9712746858168761
71,Male,Caucasian,05/06/44,3.03,Caucasian,40153,0.9676840215439856
72,Male,Caucasian,01/27/54,3.0,Caucasian,9070,0.9622980251346498
73,Male,Caucasian,10/14/30,2.98,Caucasian,34711,0.9587073608617593
74,Male,Caucasian,07/10/41,2.97,Caucasian,6694,0.9569120287253141
75,Male,Caucasian,12/24/35,2.96,Caucasian,7627,0.955116696588869
76,Male,Caucasian,02/23/38,2.96,Caucasian,42475,0.955116696588869
77,Male,Caucasian,07/26/44,2.95,Caucasian,55780,0.9533213644524238
78,Male,Caucasian,04/04/49,2.92,Caucasian,19699,0.9479353680430878
79,Male,Caucasian,10/09/38,2.92,Caucasian,37024,0.9479353680430878
