,Sex_Code_Text,Ethnic_Code_Text,DateOfBirth,RawScore,z,id,quality
0,Male,Other,12/12/48,3.21,Male,58381,1.0
1,Male,Caucasian,07/20/44,3.1,Male,57880,0.9802513464991023
2,Female,Caucasian,07/29/50,2.87,Female,13111,0.9389587073608617
3,Male,Caucasian,03/06/44,3.05,Male,41305,0.9712746858168761
4,Male,African-American,06/01/45,3.04,Male,42010,0.9694793536804309
5,Female,Hispanic,05/22/46,2.82,Female,35926,0.9299820466786355
6,Female,Caucasian,08/13/32,2.82,Female,11764,0.9299820466786355
7,Female,African-American,09/24/56,2.81,Female,27061,0.9281867145421903
8,Female,Caucasian,01/02/51,2.78,Female,24610,0.9228007181328545
9,Female,Hispanic,03/14/43,2.77,Female,18613,0.9210053859964092
10,Female,Caucasian,07/16/57,2.77,Female,48574,0.9210053859964092
11,Male,Caucasian,05/06/44,3.03,Male,40153,0.9676840215439856
12,Male,Caucasian,01/27/54,3.0,Male,9070,0.9622980251346498
13,Female,African-American,07/14/55,2.74,Female,37216,0.9156193895870735
14,Female,Caucasian,01/21/47,2.73,Female,33706,0.9138240574506283
15,Female,Caucasian,05/30/48,2.72,Female,46642,0.9120287253141831
16,Male,Caucasian,10/14/30,2.98,Male,34711,0.9587073608617593
17,Male,Hispanic,03/11/56,2.97,Male,50836,0.9569120287253141
18,Female,Caucasian,11/16/45,2.71,Female,25288,0.9102333931777379
19,Male,African-American,11/05/54,2.97,Male,40231,0.9569120287253141
20,Male,Caucasian,07/10/41,2.97,Male,6694,0.9569120287253141
21,Female,African-American,11/12/52,2.71,Female,39904,0.9102333931777379
22,Female,Caucasian,08/29/48,2.69,Female,52276,0.9066427289048473
23,Male,Caucasian,12/24/35,2.96,Male,7627,0.955116696588869
24,Male,Caucasian,02/23/38,2.96,Male,42475,0.955116696588869
25,Male,African-American,08/02/50,2.95,Male,47128,0.9533213644524238
26,Male,Caucasian,07/26/44,2.95,Male,55780,0.9533213644524238
27,Male,Hispanic,03/24/49,2.95,Male,22657,0.9533213644524238
28,Female,Caucasian,08/07/41,2.68,Female,28174,0.9048473967684021
29,Male,African-American,11/12/45,2.94,Male,6397,0.9515260323159783
30,Female,Caucasian,01/18/61,2.67,Female,39004,0.9030520646319568
31,Male,African-American,01/06/47,2.94,Male,51328,0.9515260323159783
32,Male,Hispanic,08/16/55,2.93,Male,14416,0.9497307001795332
33,Female,Other,05/04/56,2.67,Female,32062,0.9030520646319568
34,Male,Caucasian,04/04/49,2.92,Male,19699,0.9479353680430878
35,Male,Caucasian,10/09/38,2.92,Male,37024,0.9479353680430878
36,Male,African-American,08/15/53,2.91,Male,33760,0.9461400359066426
37,Male,Other,10/07/54,2.91,Male,25816,0.9461400359066426
38,Male,Caucasian,01/16/50,2.9,Male,9838,0.9443447037701974
39,Male,Caucasian,03/21/49,2.9,Male,55690,0.9443447037701974
40,Male,Caucasian,07/07/49,2.9,Male,5590,0.9443447037701974
41,Male,Caucasian,04/07/47,2.89,Male,57970,0.9425493716337522
42,Male,Caucasian,12/10/49,2.88,Male,40096,0.940754039497307
43,Male,Other,01/31/52,2.88,Male,47458,0.940754039497307
44,Female,Caucasian,04/03/61,2.67,Female,57013,0.9030520646319568
45,Female,Caucasian,01/30/60,2.67,Female,33244,0.9030520646319568
46,Male,Caucasian,10/22/46,2.87,Male,43339,0.9389587073608617
47,Male,Caucasian,05/11/57,2.87,Male,31837,0.9389587073608617
48,Female,Caucasian,02/09/50,2.65,Female,36823,0.8994614003590663
49,Male,Caucasian,02/09/47,2.87,Male,17254,0.9389587073608617
50,Male,Caucasian,09/09/44,2.87,Male,36730,0.9389587073608617
51,Female,Other,07/10/55,2.65,Female,47596,0.8994614003590663
52,Female,Caucasian,11/21/45,2.65,Female,52012,0.8994614003590663
53,Male,African-American,08/24/50,2.87,Male,48532,0.9389587073608617
54,Male,Other,03/18/53,2.86,Male,59551,0.9371633752244164
55,Female,Caucasian,02/15/62,2.65,Female,45886,0.8994614003590663
56,Male,Other,08/31/53,2.86,Male,60706,0.9371633752244164
57,Male,Hispanic,11/23/47,2.85,Male,13603,0.9353680430879712
58,Male,Caucasian,11/13/47,2.85,Male,21124,0.9353680430879712
59,Female,Caucasian,08/04/53,2.65,Female,54136,0.8994614003590663
60,Female,Caucasian,08/30/48,2.64,Female,23743,0.8976660682226212
61,Male,Other,12/13/53,2.84,Male,42745,0.9335727109515258
62,Female,Other,10/07/52,2.64,Female,19807,0.8976660682226212
63,Male,Caucasian,09/18/55,2.83,Male,3043,0.9317773788150806
64,Male,Other,09/24/49,2.83,Male,37594,0.9317773788150806
65,Female,Caucasian,12/11/58,2.64,Female,5881,0.8976660682226212
66,Female,Caucasian,01/19/55,2.63,Female,2605,0.895870736086176
67,Male,Arabic,09/27/39,2.83,Male,24421,0.9317773788150806
68,Female,Caucasian,03/09/58,2.63,Female,44302,0.895870736086176
69,Male,Caucasian,08/20/46,2.83,Male,24025,0.9317773788150806
70,Female,Caucasian,09/21/59,2.62,Female,16504,0.8940754039497307
71,Female,Hispanic,09/01/53,2.62,Female,59452,0.8940754039497307
72,Male,Caucasian,02/18/50,2.83,Male,1177,0.9317773788150806
73,Male,Hispanic,03/07/33,2.82,Male,448,0.9299820466786355
74,Female,Hispanic,11/17/60,2.62,Female,38989,0.8940754039497307
75,Female,Caucasian,05/13/56,2.61,Female,24823,0.8922800718132854
76,Female,Caucasian,03/02/54,2.6,Female,54448,0.8904847396768402
77,Male,African-American,01/22/38,2.82,Male,8566,0.9299820466786355
78,Female,Caucasian,12/02/46,2.6,Female,30997,0.8904847396768402
79,Female,Other,04/06/62,2.59,Female,56938,0.8886894075403948
80,Male,Hispanic,03/11/56,2.81,Male,50407,0.9281867145421903
81,Male,Caucasian,04/15/42,2.81,Male,922,0.9281867145421903
82,Female,African-American,12/05/60,2.59,Female,9712,0.8886894075403948
83,Male,Caucasian,03/22/52,2.81,Male,26779,0.9281867145421903
84,Male,African-American,02/12/50,2.81,Male,13054,0.9281867145421903
85,Female,Caucasian,11/28/63,2.59,Female,57484,0.8886894075403948
86,Male,African-American,07/29/38,2.8,Male,39745,0.926391382405745
87,Male,Caucasian,04/24/48,2.8,Male,12919,0.926391382405745
88,Male,Hispanic,01/28/48,2.8,Male,22597,0.926391382405745
89,Female,Caucasian,01/03/63,2.59,Female,30658,0.8886894075403948
90,Female,Caucasian,10/16/50,2.59,Female,7624,0.8886894075403948
91,Male,Caucasian,03/06/55,2.79,Male,14980,0.9245960502692998
92,Female,Caucasian,08/06/50,2.58,Female,46939,0.8868940754039496
93,Female,Caucasian,01/16/51,2.58,Female,11761,0.8868940754039496
94,Male,Caucasian,07/06/54,2.79,Male,346,0.9245960502692998
95,Female,Hispanic,06/24/62,2.57,Female,20623,0.8850987432675044
96,Male,Other,08/02/55,2.79,Male,36463,0.9245960502692998
97,Female,African-American,01/03/60,2.57,Female,23821,0.8850987432675044
98,Male,Caucasian,10/05/54,2.79,Male,6208,0.9245960502692998
99,Female,Hispanic,06/28/61,2.57,Female,14404,0.8850987432675044
100,Male,Other,04/18/47,2.78,Male,19468,0.9228007181328545
101,Male,African-American,06/18/50,2.78,Male,46597,0.9228007181328545
102,Male,Caucasian,03/15/52,2.78,Male,55552,0.9228007181328545
103,Female,Caucasian,10/08/63,2.56,Female,29056,0.8833034111310591
104,Male,Other,05/21/50,2.78,Male,57565,0.9228007181328545
105,Female,African-American,06/08/41,2.55,Female,27532,0.881508078994614
106,Female,Caucasian,04/18/61,2.55,Female,13507,0.881508078994614
107,Male,Caucasian,06/15/53,2.77,Male,427,0.9210053859964092
108,Female,Caucasian,08/17/56,2.55,Female,35113,0.881508078994614
109,Female,African-American,04/17/46,2.54,Female,2791,0.8797127468581688
110,Female,Caucasian,11/23/63,2.54,Female,52702,0.8797127468581688
111,Female,Caucasian,12/08/55,2.53,Female,46567,0.8779174147217235
112,Male,Caucasian,05/11/45,2.77,Male,35263,0.9210053859964092
113,Male,Other,10/16/53,2.77,Male,19912,0.9210053859964092
114,Male,Caucasian,08/14/50,2.77,Male,39235,0.9210053859964092
115,Female,Other,05/15/56,2.53,Female,51499,0.8779174147217235
116,Female,African-American,08/15/59,2.53,Female,28333,0.8779174147217235
117,Female,African-American,04/15/66,2.53,Female,59614,0.8779174147217235
118,Male,Caucasian,12/05/61,2.76,Male,25750,0.9192100538599639
119,Female,African-American,09/27/66,2.52,Female,34852,0.8761220825852782
120,Female,African-American,11/05/40,2.52,Female,39973,0.8761220825852782
121,Male,Caucasian,05/09/49,2.76,Male,49912,0.9192100538599639
122,Female,Hispanic,06/06/60,2.52,Female,33430,0.8761220825852782
123,Female,Caucasian,03/20/55,2.52,Female,22627,0.8761220825852782
124,Male,African-American,11/24/50,2.76,Male,43327,0.9192100538599639
125,Female,Caucasian,12/08/64,2.51,Female,32821,0.8743267504488329
126,Female,Hispanic,08/15/52,2.51,Female,33637,0.8743267504488329
127,Male,Hispanic,04/09/47,2.76,Male,39727,0.9192100538599639
128,Female,African-American,08/21/40,2.5,Female,19789,0.8725314183123877
129,Female,Caucasian,08/18/52,2.5,Female,51949,0.8725314183123877
130,Male,Caucasian,04/04/48,2.76,Male,38893,0.9192100538599639
131,Female,Caucasian,01/28/48,2.5,Female,37228,0.8725314183123877
132,Female,Hispanic,06/30/63,2.49,Female,45241,0.8707360861759424
133,Female,African-American,03/28/63,2.49,Female,23311,0.8707360861759424
134,Male,African-American,05/27/51,2.75,Male,40177,0.9174147217235187
135,Female,Hispanic,05/21/53,2.49,Female,5923,0.8707360861759424
136,Female,African-American,10/16/48,2.49,Female,2686,0.8707360861759424
137,Male,Caucasian,10/09/44,2.75,Male,16636,0.9174147217235187
138,Female,Caucasian,02/28/62,2.49,Female,20044,0.8707360861759424
139,Female,Hispanic,01/14/55,2.49,Female,27238,0.8707360861759424
140,Female,African-American,07/14/56,2.49,Female,59095,0.8707360861759424
141,Female,Hispanic,05/21/53,2.49,Female,8830,0.8707360861759424
142,Male,African-American,06/24/57,2.75,Male,16831,0.9174147217235187
143,Female,Other,05/12/51,2.49,Female,26002,0.8707360861759424
144,Female,Caucasian,12/06/50,2.49,Female,1570,0.8707360861759424
145,Female,Caucasian,07/25/57,2.48,Female,14473,0.8689407540394972
146,Male,Caucasian,05/02/51,2.75,Male,49870,0.9174147217235187
147,Female,Caucasian,02/16/52,2.47,Female,20020,0.867145421903052
148,Male,Hispanic,01/13/55,2.74,Male,484,0.9156193895870735
149,Female,Caucasian,09/22/65,2.46,Female,24001,0.8653500897666069
150,Female,Hispanic,06/28/61,2.46,Female,46279,0.8653500897666069
151,Female,Hispanic,01/22/54,2.46,Female,13249,0.8653500897666069
152,Female,Caucasian,07/28/53,2.46,Female,22996,0.8653500897666069
153,Male,Hispanic,01/23/54,2.74,Male,54358,0.9156193895870735
154,Male,African-American,01/06/54,2.74,Male,40450,0.9156193895870735
155,Female,Caucasian,11/26/66,2.45,Female,41161,0.8635547576301617
156,Male,African-American,08/27/52,2.74,Male,59542,0.9156193895870735
157,Female,Other,02/18/56,2.45,Female,430,0.8635547576301617
158,Female,Caucasian,06/04/52,2.45,Female,15199,0.8635547576301617
159,Female,Caucasian,08/12/52,2.45,Female,5599,0.8635547576301617
160,Female,Caucasian,05/22/66,2.45,Female,19411,0.8635547576301617
161,Female,Caucasian,03/26/62,2.45,Female,58762,0.8635547576301617
162,Male,Hispanic,01/14/35,2.74,Male,24397,0.9156193895870735
163,Female,Caucasian,02/10/62,2.44,Female,52468,0.8617594254937163
164,Female,African-American,07/28/57,2.44,Female,21460,0.8617594254937163
165,Male,Hispanic,06/18/55,2.74,Male,41362,0.9156193895870735
166,Female,African-American,11/06/63,2.44,Female,51673,0.8617594254937163
167,Female,Other,05/16/61,2.44,Female,46198,0.8617594254937163
168,Female,Other,05/15/56,2.43,Female,22582,0.8599640933572711
169,Female,Other,11/12/66,2.43,Female,13522,0.8599640933572711
170,Female,Caucasian,05/22/68,2.43,Female,52219,0.8599640933572711
171,Male,Caucasian,02/09/47,2.74,Male,55168,0.9156193895870735
172,Female,Caucasian,10/22/63,2.42,Female,58234,0.8581687612208257
173,Female,Hispanic,03/13/65,2.42,Female,46099,0.8581687612208257
174,Female,Caucasian,11/20/62,2.42,Female,1750,0.8581687612208257
175,Male,Caucasian,06/28/53,2.73,Male,25066,0.9138240574506283
176,Female,African-American,08/27/65,2.42,Female,59443,0.8581687612208257
177,Female,Caucasian,01/08/61,2.41,Female,23758,0.8563734290843805
178,Female,African-American,08/05/59,2.41,Female,26437,0.8563734290843805
179,Male,Caucasian,12/26/59,2.73,Male,7987,0.9138240574506283
180,Female,Caucasian,08/30/56,2.41,Female,6139,0.8563734290843805
181,Male,Caucasian,08/14/48,2.73,Male,7606,0.9138240574506283
182,Female,Other,10/24/45,2.41,Female,11203,0.8563734290843805
183,Female,Caucasian,05/22/66,2.41,Female,33448,0.8563734290843805
184,Female,Native American,11/12/59,2.4,Female,47548,0.8545780969479353
185,Female,Caucasian,05/12/54,2.4,Female,30409,0.8545780969479353
186,Male,Caucasian,12/21/47,2.73,Male,59704,0.9138240574506283
187,Male,Caucasian,11/17/62,2.73,Male,58633,0.9138240574506283
188,Male,Caucasian,03/11/62,2.73,Male,31447,0.9138240574506283
189,Male,Caucasian,12/01/42,2.73,Male,45982,0.9138240574506283
190,Male,African-American,05/31/56,2.73,Male,21778,0.9138240574506283
191,Female,Caucasian,09/14/55,2.4,Female,25237,0.8545780969479353
192,Male,Caucasian,10/03/56,2.73,Male,48802,0.9138240574506283
193,Female,Hispanic,12/11/61,2.4,Female,39712,0.8545780969479353
194,Male,Other,07/07/55,2.73,Male,4891,0.9138240574506283
195,Female,Caucasian,08/17/55,2.4,Female,34483,0.8545780969479353
196,Female,Caucasian,10/21/67,2.4,Female,10348,0.8545780969479353
197,Male,African-American,05/29/54,2.72,Male,36034,0.9120287253141831
198,Female,Caucasian,09/22/65,2.39,Female,27664,0.8527827648114901
199,Male,Caucasian,09/13/58,2.72,Male,54907,0.9120287253141831
200,Female,Hispanic,03/07/56,2.38,Female,32404,0.8509874326750448
201,Male,Hispanic,05/19/50,2.72,Male,56926,0.9120287253141831
202,Male,Caucasian,07/26/50,2.72,Male,57967,0.9120287253141831
203,Male,Caucasian,09/28/57,2.72,Male,15085,0.9120287253141831
204,Female,Caucasian,09/02/60,2.38,Female,54814,0.8509874326750448
205,Female,Hispanic,11/16/51,2.38,Female,17905,0.8509874326750448
206,Female,Caucasian,08/15/53,2.38,Female,5530,0.8509874326750448
207,Male,Caucasian,05/22/58,2.72,Male,43249,0.9120287253141831
208,Male,African-American,06/27/49,2.72,Male,44212,0.9120287253141831
209,Female,Caucasian,11/16/56,2.38,Female,51844,0.8509874326750448
210,Female,Caucasian,11/04/67,2.38,Female,31258,0.8509874326750448
211,Female,Other,09/19/56,2.38,Female,40522,0.8509874326750448
212,Female,Caucasian,01/22/68,2.38,Female,5035,0.8509874326750448
213,Female,Other,10/16/69,2.38,Female,22042,0.8509874326750448
214,Female,Caucasian,02/04/62,2.37,Female,16633,0.8491921005385997
215,Female,Caucasian,03/31/46,2.37,Female,17509,0.8491921005385997
216,Female,Caucasian,01/13/63,2.37,Female,30010,0.8491921005385997
217,Female,Caucasian,12/14/57,2.37,Female,42658,0.8491921005385997
218,Male,Caucasian,12/26/56,2.71,Male,8893,0.9102333931777379
219,Female,Hispanic,11/03/68,2.37,Female,16546,0.8491921005385997
220,Male,Caucasian,07/10/62,2.71,Male,38935,0.9102333931777379
221,Female,African-American,03/24/54,2.37,Female,42169,0.8491921005385997
222,Female,Caucasian,04/15/52,2.37,Female,12208,0.8491921005385997
223,Female,African-American,09/02/69,2.37,Female,39016,0.8491921005385997
224,Male,Caucasian,01/16/48,2.71,Male,42106,0.9102333931777379
225,Female,African-American,09/04/66,2.36,Female,26794,0.8473967684021543
226,Male,African-American,02/05/41,2.7,Male,54349,0.9084380610412927
227,Male,Caucasian,08/26/47,2.7,Male,613,0.9084380610412927
228,Female,Caucasian,02/19/52,2.36,Female,39616,0.8473967684021543
229,Female,Hispanic,10/21/60,2.36,Female,9235,0.8473967684021543
230,Female,African-American,02/16/69,2.36,Female,7657,0.8473967684021543
231,Female,Caucasian,11/10/61,2.36,Female,10681,0.8473967684021543
232,Female,African-American,12/02/63,2.35,Female,47965,0.8456014362657092
233,Female,African-American,06/07/52,2.35,Female,49954,0.8456014362657092
234,Female,Caucasian,05/11/69,2.35,Female,54010,0.8456014362657092
235,Female,Caucasian,06/21/51,2.35,Female,22303,0.8456014362657092
236,Female,Hispanic,08/30/71,2.35,Female,35239,0.8456014362657092
237,Female,African-American,01/08/72,2.35,Female,55507,0.8456014362657092
238,Male,Hispanic,03/28/57,2.7,Male,20875,0.9084380610412927
239,Female,Caucasian,10/01/71,2.35,Female,36079,0.8456014362657092
240,Male,African-American,07/27/56,2.69,Male,8923,0.9066427289048473
241,Female,Caucasian,10/03/64,2.35,Female,36781,0.8456014362657092
242,Male,Caucasian,12/18/50,2.69,Male,43621,0.9066427289048473
243,Female,Caucasian,01/29/62,2.35,Female,33217,0.8456014362657092
244,Female,Hispanic,10/25/71,2.35,Female,49054,0.8456014362657092
245,Female,African-American,02/14/64,2.35,Female,48394,0.8456014362657092
246,Female,Caucasian,08/18/59,2.34,Female,25072,0.8438061041292637
247,Female,Caucasian,12/13/69,2.34,Female,26284,0.8438061041292637
248,Female,Caucasian,04/17/64,2.34,Female,8593,0.8438061041292637
249,Female,Caucasian,01/15/55,2.34,Female,56275,0.8438061041292637
250,Female,Caucasian,12/10/48,2.34,Female,2275,0.8438061041292637
251,Female,Caucasian,01/16/57,2.34,Female,48124,0.8438061041292637
252,Female,African-American,03/18/62,2.34,Female,17983,0.8438061041292637
253,Female,Caucasian,01/01/63,2.33,Female,27502,0.8420107719928185
254,Female,Caucasian,02/25/61,2.33,Female,30862,0.8420107719928185
255,Female,Caucasian,09/08/63,2.33,Female,49036,0.8420107719928185
256,Male,Caucasian,02/27/60,2.69,Male,46807,0.9066427289048473
257,Female,Caucasian,03/10/67,2.33,Female,8377,0.8420107719928185
258,Female,Caucasian,10/18/71,2.33,Female,57493,0.8420107719928185
259,Female,Caucasian,02/25/61,2.33,Female,29404,0.8420107719928185
260,Female,Caucasian,06/02/63,2.33,Female,30280,0.8420107719928185
261,Female,African-American,05/29/68,2.33,Female,48151,0.8420107719928185
262,Female,Hispanic,12/03/64,2.32,Female,39151,0.8402154398563734
263,Female,Other,10/10/63,2.32,Female,19297,0.8402154398563734
264,Female,Hispanic,12/30/65,2.32,Female,4402,0.8402154398563734
265,Female,African-American,10/21/59,2.32,Female,11032,0.8402154398563734
266,Female,Caucasian,08/01/43,2.32,Female,20542,0.8402154398563734
267,Female,Caucasian,08/29/54,2.32,Female,43285,0.8402154398563734
268,Female,Caucasian,11/21/67,2.32,Female,58222,0.8402154398563734
269,Female,African-American,08/19/49,2.32,Female,28744,0.8402154398563734
270,Female,Hispanic,04/20/54,2.31,Female,44401,0.8384201077199281
271,Female,Caucasian,07/29/50,2.31,Female,43048,0.8384201077199281
272,Female,Caucasian,11/10/59,2.31,Female,9391,0.8384201077199281
273,Female,Other,02/15/58,2.31,Female,37648,0.8384201077199281
274,Female,Other,12/31/57,2.31,Female,25132,0.8384201077199281
275,Female,Hispanic,07/18/54,2.31,Female,60349,0.8384201077199281
276,Female,Caucasian,05/27/60,2.3,Female,24349,0.8366247755834829
277,Female,Hispanic,10/16/62,2.3,Female,1561,0.8366247755834829
278,Female,Caucasian,06/03/63,2.3,Female,18280,0.8366247755834829
279,Female,African-American,10/06/72,2.3,Female,58210,0.8366247755834829
280,Female,Caucasian,07/25/69,2.3,Female,51448,0.8366247755834829
281,Female,Caucasian,12/04/50,2.29,Female,31390,0.8348294434470377
282,Female,Caucasian,08/23/43,2.29,Female,18142,0.8348294434470377
283,Female,African-American,10/16/65,2.29,Female,46249,0.8348294434470377
284,Female,Caucasian,05/05/61,2.29,Female,24598,0.8348294434470377
285,Female,Hispanic,06/13/71,2.29,Female,55072,0.8348294434470377
286,Female,Caucasian,09/04/46,2.28,Female,3445,0.8330341113105924
287,Female,Hispanic,02/11/47,2.28,Female,11605,0.8330341113105924
288,Female,Caucasian,09/11/62,2.28,Female,35080,0.8330341113105924
289,Female,Caucasian,07/18/52,2.28,Female,35191,0.8330341113105924
290,Female,Caucasian,04/02/63,2.27,Female,22402,0.8312387791741471
291,Female,Caucasian,07/19/40,2.27,Female,2500,0.8312387791741471
292,Female,African-American,04/19/64,2.27,Female,33313,0.8312387791741471
293,Female,Caucasian,07/13/56,2.27,Female,7648,0.8312387791741471
294,Female,African-American,05/15/70,2.27,Female,60076,0.8312387791741471
295,Female,Hispanic,07/26/53,2.27,Female,32173,0.8312387791741471
296,Female,Caucasian,05/03/56,2.27,Female,34678,0.8312387791741471
297,Female,Other,02/21/73,2.27,Female,39703,0.8312387791741471
298,Female,Caucasian,10/19/59,2.27,Female,55765,0.8312387791741471
299,Female,Hispanic,09/30/67,2.27,Female,52303,0.8312387791741471
300,Female,Caucasian,11/16/54,2.27,Female,52078,0.8312387791741471
301,Female,Hispanic,06/16/51,2.27,Female,6175,0.8312387791741471
302,Female,Caucasian,12/18/58,2.27,Female,50062,0.8312387791741471
303,Female,Caucasian,07/31/60,2.26,Female,40042,0.8294434470377018
304,Female,Asian,09/01/66,2.26,Female,47911,0.8294434470377018
305,Female,Caucasian,12/24/58,2.26,Female,57220,0.8294434470377018
306,Female,Caucasian,06/28/58,2.26,Female,8581,0.8294434470377018
307,Female,Hispanic,06/09/70,2.25,Female,4477,0.8276481149012566
308,Female,Hispanic,11/20/65,2.25,Female,57916,0.8276481149012566
309,Female,Hispanic,07/24/68,2.25,Female,20671,0.8276481149012566
310,Female,Caucasian,05/20/58,2.25,Female,38179,0.8276481149012566
311,Female,Other,01/15/73,2.25,Female,32275,0.8276481149012566
312,Female,Caucasian,01/14/58,2.25,Female,7609,0.8276481149012566
313,Female,Caucasian,07/02/51,2.25,Female,59116,0.8276481149012566
314,Female,Other,08/29/68,2.25,Female,44974,0.8276481149012566
315,Female,African-American,12/19/73,2.25,Female,58846,0.8276481149012566
316,Male,Caucasian,11/02/59,2.69,Male,28633,0.9066427289048473
317,Female,African-American,01/28/71,2.25,Female,24076,0.8276481149012566
318,Female,African-American,03/09/51,2.25,Female,35614,0.8276481149012566
319,Female,Hispanic,10/02/68,2.25,Female,45796,0.8276481149012566
320,Female,Caucasian,04/01/66,2.25,Female,46573,0.8276481149012566
321,Female,African-American,04/11/53,2.25,Female,27601,0.8276481149012566
322,Female,Caucasian,10/03/65,2.24,Female,40369,0.8258527827648113
323,Female,Caucasian,11/13/45,2.24,Female,26536,0.8258527827648113
324,Female,African-American,08/28/71,2.24,Female,54625,0.8258527827648113
325,Female,Other,03/19/63,2.23,Female,27625,0.8240574506283662
326,Female,Hispanic,04/07/52,2.23,Female,50665,0.8240574506283662
327,Female,Caucasian,11/22/57,2.23,Female,53902,0.8240574506283662
328,Female,Caucasian,11/30/50,2.23,Female,32212,0.8240574506283662
329,Female,Caucasian,06/01/56,2.23,Female,22384,0.8240574506283662
330,Female,African-American,10/13/68,2.23,Female,8020,0.8240574506283662
331,Female,African-American,03/04/59,2.23,Female,907,0.8240574506283662
332,Female,Caucasian,09/02/61,2.23,Female,11197,0.8240574506283662
333,Female,Caucasian,10/05/64,2.23,Female,1768,0.8240574506283662
334,Female,Caucasian,10/14/48,2.22,Female,47659,0.822262118491921
335,Female,Caucasian,08/08/58,2.22,Female,12325,0.822262118491921
336,Female,African-American,11/01/66,2.22,Female,44764,0.822262118491921
337,Female,African-American,11/17/65,2.22,Female,21349,0.822262118491921
338,Female,Caucasian,06/15/59,2.22,Female,23779,0.822262118491921
339,Female,Caucasian,06/13/72,2.22,Female,18367,0.822262118491921
340,Female,Caucasian,02/04/61,2.22,Female,46393,0.822262118491921
341,Female,Hispanic,03/31/38,2.21,Female,53767,0.8204667863554758
342,Female,Caucasian,05/27/71,2.21,Female,38623,0.8204667863554758
343,Female,Other,11/04/70,2.21,Female,19963,0.8204667863554758
344,Female,Hispanic,07/14/59,2.21,Female,38911,0.8204667863554758
345,Female,Caucasian,07/14/54,2.21,Female,43600,0.8204667863554758
346,Female,Hispanic,09/13/56,2.21,Female,24274,0.8204667863554758
347,Female,Hispanic,04/04/68,2.21,Female,20821,0.8204667863554758
348,Female,Caucasian,09/10/73,2.21,Female,38350,0.8204667863554758
349,Female,Hispanic,05/12/71,2.2,Female,20068,0.8186714542190305
350,Female,Hispanic,08/09/68,2.2,Female,29302,0.8186714542190305
351,Female,Other,01/01/74,2.2,Female,5203,0.8186714542190305
352,Female,Hispanic,04/28/67,2.2,Female,33886,0.8186714542190305
353,Female,African-American,04/28/74,2.2,Female,31876,0.8186714542190305
354,Female,Caucasian,10/10/67,2.2,Female,24805,0.8186714542190305
355,Female,Caucasian,01/18/64,2.2,Female,57793,0.8186714542190305
356,Male,Caucasian,10/01/54,2.69,Male,1033,0.9066427289048473
357,Male,Other,11/07/48,2.69,Male,16186,0.9066427289048473
358,Male,Caucasian,10/17/59,2.69,Male,46114,0.9066427289048473
359,Male,African-American,10/24/54,2.69,Male,19519,0.9066427289048473
360,Male,Hispanic,01/24/52,2.69,Male,45076,0.9066427289048473
361,Male,African-American,02/05/62,2.68,Male,18565,0.9048473967684021
362,Male,Caucasian,01/31/54,2.68,Male,46987,0.9048473967684021
363,Male,Caucasian,11/16/46,2.68,Male,3109,0.9048473967684021
364,Male,Caucasian,02/18/49,2.68,Male,2581,0.9048473967684021
365,Male,Caucasian,03/16/60,2.67,Male,27748,0.9030520646319568
366,Male,Caucasian,01/23/60,2.67,Male,12322,0.9030520646319568
367,Male,Caucasian,07/14/60,2.67,Male,30034,0.9030520646319568
368,Male,Other,09/15/59,2.67,Male,4123,0.9030520646319568
369,Male,Caucasian,06/08/46,2.67,Male,8176,0.9030520646319568
370,Male,Caucasian,10/10/57,2.67,Male,12070,0.9030520646319568
371,Male,Caucasian,01/18/54,2.67,Male,24532,0.9030520646319568
372,Male,African-American,10/14/44,2.66,Male,59221,0.9012567324955115
373,Male,Hispanic,03/20/43,2.66,Male,52594,0.9012567324955115
374,Male,Caucasian,12/21/49,2.66,Male,19984,0.9012567324955115
375,Male,Hispanic,03/05/46,2.66,Male,54253,0.9012567324955115
376,Male,Caucasian,06/27/54,2.65,Male,15334,0.8994614003590663
377,Male,Caucasian,05/12/36,2.65,Male,19033,0.8994614003590663
378,Male,Hispanic,05/22/63,2.65,Male,37639,0.8994614003590663
379,Male,Caucasian,11/23/57,2.65,Male,28366,0.8994614003590663
380,Male,Caucasian,02/18/50,2.65,Male,50470,0.8994614003590663
381,Male,Hispanic,10/31/59,2.64,Male,47293,0.8976660682226212
382,Male,Caucasian,05/23/59,2.64,Male,25756,0.8976660682226212
383,Male,Hispanic,04/02/51,2.64,Male,42406,0.8976660682226212
384,Male,Caucasian,10/20/60,2.64,Male,9481,0.8976660682226212
385,Male,Caucasian,11/10/59,2.64,Male,30247,0.8976660682226212
386,Male,Caucasian,11/28/58,2.64,Male,3802,0.8976660682226212
