,gender,age_cat,quality,id,z
0,female,middle,0.7468863993794834,18,middle_female
1,female,middle,0.7418502109731208,915,middle_female
2,female,middle,0.6728393040846058,491,middle_female
3,female,middle,0.6578591737106465,375,middle_female
4,female,middle,0.6436890013183459,153,middle_female
5,female,middle,0.628366220628399,211,middle_female
6,female,middle,0.6150266250470613,292,middle_female
7,female,middle,0.6125947049587184,116,middle_female
8,female,middle,0.5890571308411098,870,middle_female
9,female,middle,0.586479619782492,73,middle_female
10,female,middle,0.5864498720058626,833,middle_female
11,female,old,1.0,374,old_female
12,female,old,0.7522668120582692,728,old_female
13,female,old,0.7464230266049005,44,old_female
14,female,old,0.5894806825178771,482,old_female
15,female,old,0.558044365424836,487,old_female
16,male,young,0.8970728502588213,637,young_male
17,female,old,0.5341258938498598,760,old_female
18,male,old,0.978037641482944,373,old_male
19,male,young,0.713500894636838,242,young_male
20,male,old,0.852763300876253,378,old_male
21,male,old,0.8299094534341841,29,old_male
22,male,old,0.7782320565818451,294,old_male
23,female,young,0.7791482566228939,134,young_female
24,male,old,0.750447318418942,701,old_male
25,male,old,0.7481568970141418,788,old_male
26,male,old,0.7246923544751359,828,old_male
27,male,old,0.693505352081463,917,old_male
28,male,old,0.6915171303122605,115,old_male
29,male,young,0.6829414286739607,887,young_male
30,male,young,0.6337776402489621,706,young_male
31,male,old,0.6832633027650008,293,old_male
32,male,young,0.6308198613155506,812,young_male
33,male,young,0.6231565822228546,805,young_male
34,male,young,0.6045395107136068,677,young_male
35,male,young,0.5656006154799245,334,young_male
36,male,old,0.6745473616083065,715,old_male
37,male,old,0.6533853599386535,650,old_male
38,female,young,0.6750266313428872,130,young_female
39,female,young,0.5955629223712094,333,young_female
40,male,old,0.6258540287618505,95,old_male
41,male,young,0.5550475523718265,93,young_male
42,male,young,0.5228149707181146,43,young_male
43,female,young,0.5461842888927783,802,young_female
44,female,young,0.5197279699613563,410,young_female
45,female,young,0.4933605795685345,306,young_female
46,female,young,0.48527343400778417,58,young_female
47,female,young,0.47743875105927264,332,young_female
48,female,young,0.4748555737574873,1,young_female
49,female,young,0.4576163437117922,736,young_female
50,male,young,0.49822835463630905,280,young_male
51,male,young,0.4744290315634928,101,young_male
52,female,young,0.44187961247933394,359,young_female
53,female,young,0.4307145951091507,523,young_female
54,male,young,0.47061879782466637,951,young_male
55,female,young,0.4229271308537014,869,young_female
56,female,young,0.38929435755505387,565,young_female
57,female,young,0.38691831292016765,596,young_female
58,male,young,0.41991331907118945,428,young_male
59,female,young,0.372760889574994,420,young_female
60,male,young,0.41943814162334087,906,young_male
61,female,young,0.3642413781814382,575,young_female
62,female,young,0.3604267373645925,614,young_female
63,female,young,0.3571677031694445,417,young_female
64,female,young,0.3532926224254795,118,young_female
65,female,young,0.34242854552574553,11,young_female
66,female,young,0.3341193147119597,517,young_female
67,female,young,0.31814869355320036,618,young_female
68,female,young,0.31489689955765526,59,young_female
69,female,young,0.3087191205486939,550,young_female
70,female,young,0.30540122038286177,752,young_female
71,female,young,0.2905137960429476,252,young_female
72,female,young,0.28791110168136325,613,young_female
73,female,young,0.2863374600372461,817,young_female
74,female,young,0.2823411846477549,724,young_female
75,female,young,0.2683461936067149,593,young_female
76,female,young,0.24412363364841846,521,young_female
77,male,young,0.40399857336588696,152,young_male
78,female,young,0.23584147488532156,340,young_female
79,female,young,0.2213050428305025,761,young_female
80,male,old,0.617813157520301,214,old_male
81,male,old,0.6087060881894087,615,old_male
82,male,young,0.39518756524049425,194,young_male
83,male,young,0.3891445169024034,561,young_male
84,male,young,0.3698002775199987,998,young_male
85,male,young,0.3631666807273442,992,young_male
86,male,young,0.3625783358117901,217,young_male
