lsat,gender,race1,z,id,quality,uuid,score,group
48.0,female,white,white,10552,1.0,6aadb464-21ea-4765-b75f-04bcf0b03761,1.0,0
48.0,male,white,white,13780,1.0,62a243a7-8798-40f2-aa18-d41afbc54756,1.0,0
48.0,male,white,white,7600,1.0,05a5710a-a2a5-47b9-960c-57920312d281,1.0,0
48.0,male,white,white,31,1.0,de730431-3de6-41c1-ae92-508080d533cf,1.0,0
48.0,male,white,white,4,1.0,c01e9d88-f731-431f-9da4-822668c8793d,1.0,0
48.0,female,white,white,40,1.0,b8af714e-a819-423d-b77a-ba396d8c13df,1.0,0
48.0,female,white,white,10471,1.0,a29aa2e1-4b43-4ef0-a1ea-3453c903bc18,1.0,0
48.0,male,white,white,2450,1.0,9fae8f58-a433-49db-84a2-7459a9be92d0,1.0,0
48.0,male,white,white,18937,1.0,0ec09148-1438-46f9-b58b-3241708cae93,1.0,0
48.0,female,white,white,7903,1.0,e0ad793c-5cfe-40d4-a7d5-023be6c537c6,1.0,0
48.0,male,white,white,3249,1.0,750cdb0a-d41d-4ef3-ace8-2b77874aa116,1.0,0
48.0,male,white,white,15158,1.0,065e6465-aebc-4016-8b42-bcd12b2867bd,1.0,0
48.0,female,white,white,20818,1.0,f7df7ed2-643d-44ba-a437-1f2ada99e783,1.0,0
48.0,female,white,white,1154,1.0,6594bea0-9277-40cf-adb5-b4c6c628d573,1.0,0
48.0,female,white,white,15055,1.0,5933c202-57fd-4156-a339-a4c52b1c8576,1.0,0
48.0,female,white,white,3205,1.0,d8d4c9b1-1699-4c55-807e-56b1e04b4a92,1.0,0
48.0,female,white,white,5553,1.0,a59b1e67-e36f-4532-b5e5-a78067561bd7,1.0,0
48.0,male,white,white,5539,1.0,7373839b-7e40-4cbf-b008-6ebbbd7f24cb,1.0,0
48.0,female,white,white,196,1.0,a12bf025-8100-4519-afd6-02c98588a9b7,1.0,0
48.0,male,hisp,hisp,8756,1.0,2434da12-443e-400d-95fe-d35276db0ad0,1.0,2
48.0,female,white,white,5585,1.0,5e0cba61-9f86-4c1a-8284-a29a566b7a27,1.0,0
48.0,female,white,white,13910,1.0,bf518798-0a19-4e98-aee5-11bb629b861b,1.0,0
48.0,male,white,white,13944,1.0,64684ed9-da9f-44c1-a72f-eae09d8a7bc6,1.0,0
48.0,female,white,white,22093,1.0,7f74b03e-3376-4cfa-aa1a-00898b518ee2,1.0,0
48.0,male,white,white,5547,1.0,899b31af-6627-4d44-a3cd-9843d86ef204,1.0,0
48.0,male,white,white,5548,1.0,cc066a4b-858d-45c3-a821-aca2a8cfc413,1.0,0
48.0,female,white,white,18709,1.0,2d2b63d2-1c20-43f9-99ca-8ed218bd61e5,1.0,0
48.0,male,white,white,4516,1.0,6f9336aa-887e-475f-bf82-bc75ef716a5d,1.0,0
48.0,male,asian,asian,13072,1.0,61231fd6-aa30-428b-aae7-0a8533983cde,1.0,3
48.0,male,white,white,13116,1.0,d53ed313-d09f-4941-916c-9687fa5b0ef1,1.0,0
48.0,female,white,white,13120,1.0,faf11067-83ab-4cf9-a27b-969bea97cf85,1.0,0
48.0,female,white,white,15022,1.0,98a309e2-d8a9-4120-a527-7fa2aed37b39,1.0,0
48.0,male,white,white,3166,1.0,f3a6d857-9044-4f2f-a2ef-40b859d1ffee,1.0,0
48.0,male,asian,asian,20841,1.0,3caeda55-7cea-407b-b5ff-d3f9ec912209,1.0,3
48.0,female,white,white,14976,1.0,0c528560-1e93-4b84-bfbc-6a3125d66a8d,1.0,0
48.0,female,white,white,2019,1.0,53e56172-fea2-4299-ad85-0d1e7d749513,1.0,0
48.0,male,white,white,3196,1.0,70828005-5022-4167-b1a7-1799351de874,1.0,0
48.0,female,white,white,13110,1.0,852722f3-c3e4-4271-b0b3-cf01dbdd5d98,1.0,0
48.0,male,white,white,1981,1.0,a78505dd-cc5d-41f4-841c-3db9671bd801,1.0,0
48.0,male,white,white,14997,1.0,a72fcbc8-022e-4870-8f79-1ebd2e4d0b66,1.0,0
48.0,male,white,white,6235,1.0,4b10ef06-23ef-47fb-a9a6-d29f7c762cbe,1.0,0
48.0,male,white,white,20919,1.0,f63b66a3-9076-40da-aa61-e80780a23e39,1.0,0
48.0,male,white,white,3150,1.0,a5ea4a35-9d15-4b5b-836d-03631aa42cbf,1.0,0
48.0,male,white,white,15002,1.0,2101fee8-ca82-4f01-92ba-3dff7da6389c,1.0,0
48.0,female,asian,asian,20897,1.0,efec33d2-4ff2-4cba-93d4-8f9c1d232d04,1.0,3
48.0,male,white,white,20887,1.0,15d83132-8241-4fa6-b361-84d2f2fa2d3a,1.0,0
48.0,female,white,white,13080,1.0,a51d7a62-24ff-47a4-b0de-24c3d52ab614,1.0,0
48.0,female,white,white,6715,1.0,80f77aa2-430f-4078-b551-6512e9f2af0d,1.0,0
48.0,male,white,white,10625,1.0,5f11ba78-d0e2-4aee-8c75-59ac1a5ff1f2,1.0,0
48.0,male,white,white,12272,1.0,bbb9473e-a604-4192-b0f0-ccbddfdb8f95,1.0,0
48.0,male,white,white,12300,1.0,cf1375ee-bb66-44d0-937a-4a9ecfb06cc8,1.0,0
