,lsat,gender,race1,z,id,quality,rank
0,48.0,female,white,white_female,10552,1.0,0
1,48.0,male,white,white_male,13780,1.0,1
2,48.0,male,white,white_male,7600,1.0,2
3,48.0,male,white,white_male,31,1.0,3
4,48.0,male,white,white_male,4,1.0,4
5,48.0,female,white,white_female,40,1.0,5
6,48.0,female,white,white_female,10471,1.0,6
7,48.0,male,white,white_male,2450,1.0,7
8,48.0,male,white,white_male,18937,1.0,8
9,48.0,female,white,white_female,7903,1.0,9
10,48.0,male,white,white_male,3249,1.0,10
11,48.0,male,white,white_male,15158,1.0,11
12,48.0,female,white,white_female,20818,1.0,12
13,48.0,female,white,white_female,1154,1.0,13
14,48.0,female,white,white_female,15055,1.0,14
15,48.0,female,white,white_female,3205,1.0,15
16,48.0,female,white,white_female,5553,1.0,16
17,48.0,male,white,white_male,5539,1.0,17
18,48.0,female,white,white_female,196,1.0,18
19,48.0,male,hisp,hisp_male,8756,1.0,19
20,48.0,female,white,white_female,5585,1.0,20
21,48.0,female,white,white_female,13910,1.0,21
22,48.0,male,white,white_male,13944,1.0,22
23,48.0,female,white,white_female,22093,1.0,23
24,48.0,male,white,white_male,5547,1.0,24
25,48.0,male,white,white_male,5548,1.0,25
26,48.0,female,white,white_female,18709,1.0,26
27,48.0,male,white,white_male,4516,1.0,27
28,48.0,male,asian,asian_male,13072,1.0,28
29,48.0,male,white,white_male,13116,1.0,29
30,48.0,female,white,white_female,13120,1.0,30
31,48.0,female,white,white_female,15022,1.0,31
32,48.0,male,white,white_male,3166,1.0,32
33,48.0,male,asian,asian_male,20841,1.0,33
34,48.0,female,white,white_female,14976,1.0,34
35,48.0,female,white,white_female,2019,1.0,35
36,48.0,male,white,white_male,3196,1.0,36
37,48.0,female,white,white_female,13110,1.0,37
38,48.0,male,white,white_male,1981,1.0,38
39,48.0,male,white,white_male,14997,1.0,39
40,48.0,male,white,white_male,6235,1.0,40
41,48.0,male,white,white_male,20919,1.0,41
42,48.0,male,white,white_male,3150,1.0,42
43,48.0,male,white,white_male,15002,1.0,43
44,48.0,female,asian,asian_female,20897,1.0,44
45,48.0,female,white,white_female,13080,1.0,46
46,48.0,female,white,white_female,6715,1.0,47
47,48.0,female,asian,asian_female,13631,1.0,51
48,48.0,female,white,white_female,13040,1.0,54
49,48.0,male,hisp,hisp_male,6165,1.0,66
50,48.0,female,asian,asian_female,14850,1.0,74
51,48.0,female,hisp,hisp_female,19690,1.0,92
52,48.0,female,hisp,hisp_female,20723,1.0,97
53,48.0,male,asian,asian_male,13335,1.0,124
54,48.0,male,hisp,hisp_male,21114,1.0,138
55,48.0,male,asian,asian_male,4862,1.0,139
56,48.0,female,asian,asian_female,1403,1.0,159
57,48.0,female,asian,asian_female,1854,1.0,268
58,48.0,male,asian,asian_male,14263,1.0,271
59,48.0,female,asian,asian_female,9780,1.0,289
60,48.0,male,hisp,hisp_male,16237,1.0,293
61,48.0,female,asian,asian_female,21431,1.0,296
62,48.0,male,asian,asian_male,1669,1.0,308
63,47.0,male,hisp,hisp_male,10068,0.972972972972973,320
64,47.0,male,asian,asian_male,10109,0.972972972972973,323
