,gender,age_cat,quality,id,z,rank
0,female,old,1.0,374,old_female,0
1,male,old,0.978037641482944,373,old_male,1
2,male,middle,0.9054719539850689,672,middle_male,2
3,male,young,0.8970728502588213,637,young_male,3
4,male,middle,0.8622670072288672,714,middle_male,4
5,male,old,0.852763300876253,378,old_male,5
6,male,middle,0.8506951221201319,832,middle_male,6
7,male,middle,0.8397775307015942,973,middle_male,7
8,male,old,0.8299094534341841,29,old_male,8
9,male,middle,0.7811004347897259,538,middle_male,9
10,female,young,0.7791482566228939,134,young_female,10
11,male,middle,0.7790631055797386,854,middle_male,11
12,male,old,0.7782320565818451,294,old_male,12
13,male,middle,0.7705435941861827,902,middle_male,13
14,male,middle,0.7698623858409399,467,middle_male,14
15,male,middle,0.7662581829995078,921,middle_male,15
16,female,old,0.7522668120582692,728,old_female,16
17,male,old,0.750447318418942,701,old_male,17
18,male,old,0.7481568970141418,788,old_male,18
19,male,middle,0.7472710743322961,509,middle_male,19
20,female,middle,0.7468863993794834,18,middle_female,20
21,female,old,0.7464230266049005,44,old_female,21
22,male,middle,0.7453793360925839,744,middle_male,22
23,female,middle,0.7418502109731208,915,middle_female,23
24,male,middle,0.7393427409758783,205,middle_male,24
25,male,middle,0.7318853353849332,763,middle_male,25
26,male,middle,0.7279845991510709,226,middle_male,26
27,male,old,0.7246923544751359,828,old_male,27
28,male,middle,0.7193623084022832,653,middle_male,28
29,male,middle,0.7137711429567968,927,middle_male,29
30,male,young,0.713500894636838,242,young_male,30
31,male,middle,0.7121657073926846,657,middle_male,31
32,male,middle,0.7048705767102296,868,middle_male,32
33,male,middle,0.6935986876980825,395,middle_male,33
34,male,old,0.693505352081463,917,old_male,34
35,male,old,0.6915171303122605,115,old_male,35
36,male,middle,0.6878529597306394,888,middle_male,36
37,male,old,0.6832633027650008,293,old_male,37
38,male,middle,0.6829681859333625,549,middle_male,38
39,male,young,0.6829414286739607,887,young_male,39
40,male,middle,0.6812171593989753,266,middle_male,40
41,female,young,0.6750266313428872,130,young_female,41
42,male,old,0.6745473616083065,715,old_male,42
43,male,middle,0.6738145274919823,787,middle_male,43
44,female,middle,0.6728393040846058,491,middle_female,44
45,male,middle,0.6713276763240436,415,middle_male,45
46,female,middle,0.6578591737106465,375,middle_female,48
47,male,old,0.6533853599386535,650,old_male,50
48,female,middle,0.6436890013183459,153,middle_female,52
49,male,young,0.6337776402489621,706,young_male,56
50,male,young,0.6308198613155506,812,young_male,57
51,female,middle,0.628366220628399,211,middle_female,58
52,male,old,0.6258540287618505,95,old_male,60
53,male,young,0.6231565822228546,805,young_male,62
54,male,old,0.617813157520301,214,old_male,65
55,female,middle,0.6150266250470613,292,middle_female,67
56,female,middle,0.6125947049587184,116,middle_female,69
57,male,old,0.6087060881894087,615,old_male,73
58,male,old,0.605881938157363,65,old_male,75
59,male,young,0.6045395107136068,677,young_male,77
60,male,old,0.6040756657520931,796,old_male,79
61,female,young,0.5955629223712094,333,young_female,82
62,male,old,0.5939028705187888,54,old_male,85
63,male,old,0.5902084799736079,956,old_male,86
64,female,old,0.5894806825178771,482,old_female,87
65,female,middle,0.5890571308411098,870,middle_female,88
66,male,old,0.5880804908729415,62,old_male,90
67,female,middle,0.586479619782492,73,middle_female,92
68,female,middle,0.5864498720058626,833,middle_female,93
69,male,old,0.5775017722749463,814,old_male,100
70,male,old,0.57732722050626,227,old_male,101
71,male,old,0.5765301689673713,669,old_male,102
72,female,middle,0.5759736179718122,912,middle_female,103
73,male,old,0.5698863414578866,980,old_male,107
74,male,young,0.5656006154799245,334,young_male,111
75,female,middle,0.5604204100597223,121,middle_female,116
76,female,old,0.558044365424836,487,old_female,120
77,male,young,0.5550475523718265,93,young_male,124
78,male,old,0.5527911284260311,213,old_male,125
79,male,old,0.5519134903176496,928,old_male,127
80,male,old,0.5487874554412933,87,old_male,131
81,female,young,0.5461842888927783,802,young_female,136
82,male,old,0.5410695600602888,560,old_male,140
83,female,middle,0.5400981141483574,705,middle_female,142
84,female,middle,0.5378158773170213,770,middle_female,147
85,female,old,0.5341258938498598,760,old_female,153
86,female,middle,0.5281920780883859,826,middle_female,162
87,male,young,0.5228149707181146,43,young_male,168
