,gender,age_cat,quality,id,z,rank
0,female,old,1.0,374,female,0
1,male,old,0.978037641482944,373,male,1
2,male,middle,0.9054719539850689,672,male,2
3,male,young,0.8970728502588213,637,male,3
4,male,middle,0.8622670072288672,714,male,4
5,male,old,0.852763300876253,378,male,5
6,male,middle,0.8506951221201319,832,male,6
7,male,middle,0.8397775307015942,973,male,7
8,male,old,0.8299094534341841,29,male,8
9,male,middle,0.7811004347897259,538,male,9
10,female,young,0.7791482566228939,134,female,10
11,male,middle,0.7790631055797386,854,male,11
12,male,old,0.7782320565818451,294,male,12
13,male,middle,0.7705435941861827,902,male,13
14,male,middle,0.7698623858409399,467,male,14
15,male,middle,0.7662581829995078,921,male,15
16,female,old,0.7522668120582692,728,female,16
17,male,old,0.750447318418942,701,male,17
18,male,old,0.7481568970141418,788,male,18
19,male,middle,0.7472710743322961,509,male,19
20,female,middle,0.7468863993794834,18,female,20
21,female,old,0.7464230266049005,44,female,21
22,male,middle,0.7453793360925839,744,male,22
23,female,middle,0.7418502109731208,915,female,23
24,male,middle,0.7393427409758783,205,male,24
25,male,middle,0.7318853353849332,763,male,25
26,male,middle,0.7279845991510709,226,male,26
27,male,old,0.7246923544751359,828,male,27
28,male,middle,0.7193623084022832,653,male,28
29,male,middle,0.7137711429567968,927,male,29
30,male,young,0.713500894636838,242,male,30
31,male,middle,0.7121657073926846,657,male,31
32,male,middle,0.7048705767102296,868,male,32
33,male,middle,0.6935986876980825,395,male,33
34,male,old,0.693505352081463,917,male,34
35,male,old,0.6915171303122605,115,male,35
36,male,middle,0.6878529597306394,888,male,36
37,male,old,0.6832633027650008,293,male,37
38,male,middle,0.6829681859333625,549,male,38
39,male,young,0.6829414286739607,887,male,39
40,male,middle,0.6812171593989753,266,male,40
41,female,young,0.6750266313428872,130,female,41
42,male,old,0.6745473616083065,715,male,42
43,male,middle,0.6738145274919823,787,male,43
44,female,middle,0.6728393040846058,491,female,44
45,male,middle,0.6713276763240436,415,male,45
46,male,middle,0.6685235155387276,778,male,46
47,male,middle,0.6638570494990412,501,male,47
48,female,middle,0.6578591737106465,375,female,48
49,male,middle,0.6561627634645678,63,male,49
50,male,old,0.6533853599386535,650,male,50
51,male,middle,0.6478757254365212,542,male,51
52,female,middle,0.6436890013183459,153,female,52
53,male,middle,0.6431747897508994,552,male,53
54,male,middle,0.6420231258271141,328,male,54
55,male,middle,0.6357003854304519,684,male,55
56,male,young,0.6337776402489621,706,male,56
57,male,young,0.6308198613155506,812,male,57
58,female,middle,0.628366220628399,211,female,58
59,male,middle,0.6277500166839383,3,male,59
60,male,old,0.6258540287618505,95,male,60
61,male,middle,0.6232288268232397,877,male,61
62,male,young,0.6231565822228546,805,male,62
63,male,middle,0.6224714389865231,51,male,63
64,male,middle,0.6200393615025367,368,male,64
65,male,old,0.617813157520301,214,male,65
66,male,middle,0.6162211005858895,895,male,66
67,female,middle,0.6150266250470613,292,female,67
68,male,middle,0.6127576094497826,791,male,68
69,female,middle,0.6125947049587184,116,female,69
70,male,middle,0.6125939179805007,268,male,70
71,male,middle,0.6124234584985463,968,male,71
72,male,middle,0.6121347948882931,616,male,72
73,male,old,0.6087060881894087,615,male,73
74,male,middle,0.6075383699099823,687,male,74
75,male,old,0.605881938157363,65,male,75
76,male,middle,0.6050552962374887,315,male,76
77,male,young,0.6045395107136068,677,male,77
78,male,middle,0.6043274987817578,822,male,78
79,male,old,0.6040756657520931,796,male,79
80,male,middle,0.5963003209611963,98,male,80
81,male,middle,0.5958465493208693,286,male,81
82,female,young,0.5955629223712094,333,female,82
83,male,middle,0.595504528587456,520,male,83
84,male,middle,0.5954869002753795,46,male,84
85,male,old,0.5939028705187888,54,male,85
86,male,old,0.5902084799736079,956,male,86
87,female,old,0.5894806825178771,482,female,87
88,female,middle,0.5890571308411098,870,female,88
89,male,middle,0.5885942302534574,74,male,89
90,male,old,0.5880804908729415,62,male,90
91,male,middle,0.5878626553022815,676,male,91
92,female,middle,0.586479619782492,73,female,92
93,female,middle,0.5864498720058626,833,female,93
94,male,middle,0.5863415838031069,719,male,94
95,male,middle,0.5837809140783478,78,male,95
96,male,middle,0.5815353504319566,106,male,96
97,male,middle,0.5794589871023715,659,male,97
98,male,middle,0.5785292510359782,568,male,98
99,male,middle,0.5778145174186612,716,male,99
100,male,old,0.5775017722749463,814,male,100
101,male,old,0.57732722050626,227,male,101
102,male,old,0.5765301689673713,669,male,102
103,female,middle,0.5759736179718122,912,female,103
104,male,middle,0.575639467020576,191,male,104
105,male,middle,0.5749100956084097,255,male,105
106,male,middle,0.5732298971136157,371,male,106
107,male,old,0.5698863414578866,980,male,107
108,male,middle,0.5696886525296,145,male,108
109,male,middle,0.5659342942442303,239,male,109
110,male,middle,0.5657328278204984,164,male,110
111,male,young,0.5656006154799245,334,male,111
112,male,middle,0.5655275839013217,703,male,112
113,male,middle,0.5642462259672592,304,male,113
114,male,middle,0.562796612090252,411,male,114
115,male,middle,0.5618885966226672,40,male,115
116,female,middle,0.5604204100597223,121,female,116
117,male,middle,0.5592229440036668,426,male,117
118,male,middle,0.5588573139237224,273,male,118
119,male,middle,0.5586349138793997,882,male,119
120,female,old,0.558044365424836,487,female,120
121,male,middle,0.5567902369371059,262,male,121
122,male,middle,0.5558375211067558,685,male,122
123,male,middle,0.5551331756019124,949,male,123
124,male,young,0.5550475523718265,93,male,124
125,male,old,0.5527911284260311,213,male,125
126,male,middle,0.5525728206684405,639,male,126
127,male,old,0.5519134903176496,928,male,127
128,male,middle,0.5510446663653066,19,male,128
129,male,middle,0.550721533109118,938,male,129
130,male,middle,0.5492251727259793,919,male,130
131,male,old,0.5487874554412933,87,male,131
132,male,middle,0.5476154874794914,671,male,132
133,male,middle,0.5474612397488218,780,male,133
134,male,middle,0.5470587790882889,890,male,134
135,male,middle,0.5468705338986146,408,male,135
136,female,young,0.5461842888927783,802,female,136
137,male,middle,0.5440139603639995,563,male,137
138,male,middle,0.5433171698500461,959,male,138
139,male,middle,0.5431673291973956,794,male,139
140,male,old,0.5410695600602888,560,male,140
141,male,old,0.5409197194076384,838,male,141
142,female,middle,0.5400981141483574,705,female,142
143,male,old,0.5395283419187411,793,male,143
144,male,middle,0.5391002257683112,160,male,144
145,male,middle,0.5383170250460539,343,male,145
146,male,old,0.5383082108900158,6,male,146
147,female,middle,0.5378158773170213,770,female,147
148,male,middle,0.5367027753259035,198,male,148
149,male,middle,0.5355640178448885,840,male,149
150,male,middle,0.5352774003780014,199,male,150
151,male,middle,0.5347762526489688,453,male,151
152,male,middle,0.5346951938925454,879,male,152
153,female,old,0.5341258938498598,760,female,153
154,male,old,0.5335133100052004,839,male,154
155,male,old,0.53314563378189,326,male,155
156,male,middle,0.532806918356991,567,male,156
157,male,old,0.531950686056131,978,male,157
158,male,middle,0.530563715645253,772,male,158
159,male,old,0.5295104239986804,16,male,159
160,male,middle,0.5289324671956,963,male,160
161,male,old,0.5286541916978206,678,male,161
162,female,middle,0.5281920780883859,826,female,162
163,male,middle,0.5281020477802807,742,male,163
164,male,middle,0.5269203212885792,652,male,164
165,male,old,0.5252078566868595,773,male,165
166,male,middle,0.5234412479837619,786,male,166
167,male,middle,0.5233161184471471,880,male,167
168,male,young,0.5228149707181146,43,male,168
169,male,old,0.5211193474502536,541,male,169
170,female,middle,0.5206144222257759,537,female,170
171,female,young,0.5197279699613563,410,female,171
172,male,old,0.5196895654243324,237,male,172
173,male,old,0.5191500131582758,781,male,173
174,male,middle,0.5190429841206684,169,male,174
175,male,middle,0.5178274175656057,571,male,175
176,male,old,0.5165473187966915,844,male,176
177,male,middle,0.5154372073228008,450,male,177
178,female,old,0.5151899387667989,83,female,178
179,male,old,0.5149330690765409,989,male,179
180,female,middle,0.5139101547891718,753,female,180
181,male,old,0.5134604754355767,712,male,181
182,male,middle,0.5126388701762957,668,male,182
183,female,old,0.5119362560235313,261,female,183
184,male,old,0.5118078211784023,800,male,184
185,male,middle,0.5090678778156508,100,male,185
186,male,old,0.5084301106680249,662,male,186
187,female,old,0.5070985435236729,702,female,187
188,male,middle,0.5066918331807645,594,male,188
189,male,middle,0.5053520814629484,404,male,189
190,male,middle,0.5051853994764391,154,male,190
191,female,middle,0.5051720208467383,437,female,191
192,male,middle,0.5049793685790448,904,male,192
193,female,middle,0.5041149517047208,319,female,193
194,female,old,0.5039732956255344,955,female,194
195,male,old,0.5032883097848465,13,male,195
196,female,old,0.5025095161406086,967,female,196
197,female,old,0.5015978805732224,186,female,197
198,male,middle,0.5003728702795472,776,male,198
199,male,old,0.4998575569425959,522,male,199
200,male,middle,0.49900714828054704,269,male,200
201,male,young,0.49822835463630905,280,male,201
202,female,middle,0.4972090604487413,240,female,202
203,male,middle,0.4966776927561489,818,male,203
204,male,middle,0.49524854031280185,977,male,204
205,male,middle,0.4947517996617882,825,male,205
206,male,middle,0.4942508093283991,392,male,206
207,female,middle,0.4941096254361434,592,female,207
208,female,young,0.4933605795685345,306,female,208
209,male,old,0.4929707105594849,798,male,209
210,female,middle,0.49213006042733554,569,female,210
211,male,middle,0.4904818132481802,829,male,211
212,male,middle,0.4880448564992439,900,male,212
213,female,middle,0.4873455476549939,675,female,213
214,male,middle,0.4863953501549403,768,male,214
215,male,middle,0.48638527683375377,272,male,215
216,female,middle,0.48588979534788845,790,female,216
217,female,young,0.48527343400778417,58,female,217
218,male,middle,0.4842278547477452,99,male,218
219,female,middle,0.4835853657308132,57,female,219
220,female,old,0.4817200699592157,801,female,222
221,female,young,0.47743875105927264,332,female,226
222,female,young,0.4748555737574873,1,female,228
223,female,middle,0.47400437811722074,285,female,230
224,female,middle,0.46809338472406026,424,female,238
225,female,old,0.46779370341875937,263,female,240
226,female,middle,0.4634141696372472,295,female,246
227,female,young,0.4576163437117922,736,female,255
228,female,middle,0.4565536083266073,444,female,258
229,female,old,0.4546291317930386,584,female,262
230,female,middle,0.4529108435525079,70,female,265
231,female,middle,0.451455248641046,771,female,268
232,female,middle,0.4469600290615317,113,female,276
233,female,young,0.44187961247933394,359,female,285
234,female,middle,0.44107500594955534,168,female,287
235,female,old,0.43945241426029713,448,female,289
236,female,old,0.4379053724799384,815,female,292
237,female,middle,0.4355137456763417,135,female,297
238,female,young,0.4307145951091507,523,female,303
239,female,middle,0.42912206598780883,945,female,306
240,female,middle,0.42603097294431846,92,female,312
241,female,middle,0.42472317254214115,667,female,315
242,female,old,0.4240717119735274,611,female,319
243,female,middle,0.4239376108852309,195,female,321
244,female,young,0.4229271308537014,869,female,324
245,female,middle,0.4184363183522062,445,female,330
246,female,middle,0.41762289766638927,708,female,332
247,female,middle,0.4159275891898154,341,female,339
248,female,middle,0.40028860065199573,711,female,366
249,female,middle,0.3984390444447523,418,female,371
250,female,middle,0.39683801595865914,777,female,375
251,female,middle,0.3953736068911591,602,female,378
252,female,middle,0.3930534377097297,146,female,381
253,female,middle,0.3921531346286785,953,female,382
254,female,young,0.38929435755505387,565,female,387
255,female,middle,0.388694994944452,327,female,390
256,female,young,0.38691831292016765,596,female,393
257,female,middle,0.38596386573773855,369,female,395
258,female,middle,0.3855055296237489,636,female,397
259,female,old,0.38380612886044296,750,female,400
260,female,middle,0.38355760113929266,755,female,403
261,female,middle,0.37415887768092004,910,female,417
262,female,young,0.372760889574994,420,female,419
263,female,middle,0.37207275582143534,382,female,420
264,female,young,0.3642413781814382,575,female,426
265,female,young,0.3604267373645925,614,female,433
266,female,middle,0.3602451027919469,301,female,434
267,female,young,0.3571677031694445,417,female,436
268,female,young,0.3532926224254795,118,female,439
269,female,middle,0.3513550820534969,898,female,444
270,female,middle,0.3505054603696658,603,female,448
271,female,middle,0.3501179522952692,576,female,449
272,female,young,0.34242854552574553,11,female,452
273,female,middle,0.3361081660637364,739,female,456
274,female,old,0.3359923228700907,607,female,457
275,female,middle,0.3348452234199681,658,female,459
276,female,young,0.3341193147119597,517,female,463
277,female,middle,0.3320292579613865,381,female,466
278,female,old,0.33046742099053483,96,female,468
279,female,middle,0.33006291418663597,69,female,470
280,female,middle,0.3251115620321414,483,female,477
281,female,middle,0.3245594181146017,995,female,478
282,female,middle,0.32147698183150614,897,female,479
283,female,middle,0.32082001241536834,468,female,481
284,female,young,0.31814869355320036,618,female,487
285,female,middle,0.31740987840242163,271,female,491
286,female,young,0.31489689955765526,59,female,493
287,female,middle,0.3139824308686855,734,female,495
288,female,young,0.3087191205486939,550,female,503
289,female,young,0.30540122038286177,752,female,511
290,female,middle,0.3050911509650871,974,female,513
291,female,old,0.3033018772893196,317,female,516
292,female,old,0.30199769698694373,147,female,517
293,female,middle,0.30125290080171047,389,female,518
294,female,middle,0.3000954132391142,557,female,519
295,female,old,0.2959014489213362,554,female,520
296,female,old,0.2956401721530591,590,female,521
297,female,middle,0.2950936944786868,856,female,522
298,female,middle,0.2949640004684095,393,female,523
299,female,young,0.2905137960429476,252,female,524
300,female,middle,0.2885104642919651,630,female,525
301,female,young,0.28791110168136325,613,female,526
302,female,young,0.2863374600372461,817,female,527
303,female,middle,0.2842009715718285,141,female,528
304,female,old,0.28314217107773204,175,female,529
305,female,young,0.2823411846477549,724,female,530
306,female,middle,0.28120226977109636,965,female,531
307,female,middle,0.28078328256799184,732,female,532
308,female,middle,0.27818216216284275,108,female,533
309,female,middle,0.2730230477588749,215,female,534
310,female,young,0.2683461936067149,593,female,535
311,female,middle,0.2673291029581567,250,female,536
