,lsat,gender,race1,z,id,quality
8100,35.0,male,white,male,8100,0.6486486486486487
2475,43.0,male,white,male,2475,0.8648648648648649
9443,46.0,female,white,female,9443,0.9459459459459459
13156,40.0,male,white,male,13156,0.7837837837837838
6147,31.0,male,black,male,6147,0.5405405405405406
10287,36.0,female,white,female,10287,0.6756756756756757
14327,45.0,female,white,female,14327,0.918918918918919
11145,21.0,male,hisp,male,11145,0.2702702702702703
7716,33.5,male,white,male,7716,0.6081081081081081
2718,41.0,female,white,female,2718,0.8108108108108109
1621,39.0,female,white,female,1621,0.7567567567567568
10608,35.0,female,black,female,10608,0.6486486486486487
11006,45.0,male,white,male,11006,0.918918918918919
17623,42.0,female,white,female,17623,0.8378378378378378
4219,34.0,male,asian,male,4219,0.6216216216216216
15320,47.0,male,white,male,15320,0.972972972972973
833,33.0,male,black,male,833,0.5945945945945946
521,34.0,female,white,female,521,0.6216216216216216
3606,39.0,female,white,female,3606,0.7567567567567568
15904,36.0,male,white,male,15904,0.6756756756756757
19660,42.0,female,white,female,19660,0.8378378378378378
17796,34.0,male,asian,male,17796,0.6216216216216216
1338,33.0,male,white,male,1338,0.5945945945945946
6131,28.5,female,black,female,6131,0.47297297297297297
2768,32.0,male,white,male,2768,0.5675675675675675
10977,36.0,female,white,female,10977,0.6756756756756757
5930,34.5,female,white,female,5930,0.6351351351351351
8583,43.0,female,white,female,8583,0.8648648648648649
14965,30.5,male,white,male,14965,0.527027027027027
1926,27.3,male,white,male,1926,0.44054054054054054
13291,45.0,male,white,male,13291,0.918918918918919
19534,41.0,male,white,male,19534,0.8108108108108109
16685,39.0,female,asian,female,16685,0.7567567567567568
4373,39.0,male,white,male,4373,0.7567567567567568
14087,44.0,male,hisp,male,14087,0.8918918918918919
10525,38.0,male,white,male,10525,0.7297297297297297
8619,45.0,male,white,male,8619,0.918918918918919
10433,32.0,female,white,female,10433,0.5675675675675675
10447,40.0,male,hisp,male,10447,0.7837837837837838
937,37.0,male,white,male,937,0.7027027027027027
20551,47.0,female,asian,female,20551,0.972972972972973
10275,45.0,female,white,female,10275,0.918918918918919
6684,40.0,female,white,female,6684,0.7837837837837838
21839,43.0,male,white,male,21839,0.8648648648648649
8523,33.0,male,white,male,8523,0.5945945945945946
17259,39.0,male,white,male,17259,0.7567567567567568
1658,42.0,female,white,female,1658,0.8378378378378378
19927,35.0,female,hisp,female,19927,0.6486486486486487
1186,43.0,female,white,female,1186,0.8648648648648649
6003,35.0,male,white,male,6003,0.6486486486486487
12315,38.0,female,white,female,12315,0.7297297297297297
13315,44.0,female,white,female,13315,0.8918918918918919
21935,28.0,female,black,female,21935,0.4594594594594595
14988,38.0,male,white,male,14988,0.7297297297297297
5923,40.0,male,white,male,5923,0.7837837837837838
17730,36.0,female,white,female,17730,0.6756756756756757
13932,46.0,male,white,male,13932,0.9459459459459459
5910,33.0,female,white,female,5910,0.5945945945945946
9207,39.0,female,white,female,9207,0.7567567567567568
9246,46.0,male,white,male,9246,0.9459459459459459
16053,28.0,female,black,female,16053,0.4594594594594595
9417,41.0,female,white,female,9417,0.8108108108108109
4400,40.0,male,white,male,4400,0.7837837837837838
16000,34.0,male,black,male,16000,0.6216216216216216
14863,38.0,male,white,male,14863,0.7297297297297297
1667,36.0,female,white,female,1667,0.6756756756756757
18218,41.0,male,white,male,18218,0.8108108108108109
856,38.0,female,white,female,856,0.7297297297297297
14284,44.0,male,white,male,14284,0.8918918918918919
8142,44.0,female,white,female,8142,0.8918918918918919
22376,35.5,female,white,female,22376,0.6621621621621622
6057,19.0,male,white,male,6057,0.21621621621621623
18888,42.0,male,white,male,18888,0.8378378378378378
19300,38.0,male,white,male,19300,0.7297297297297297
13010,34.0,female,white,female,13010,0.6216216216216216
21255,48.0,male,white,male,21255,1.0
668,43.0,male,white,male,668,0.8648648648648649
10000,35.0,female,white,female,10000,0.6486486486486487
2319,32.0,female,hisp,female,2319,0.5675675675675675
10684,47.0,male,white,male,10684,0.972972972972973
11991,36.0,male,white,male,11991,0.6756756756756757
4575,44.0,female,white,female,4575,0.8918918918918919
3622,41.0,male,white,male,3622,0.8108108108108109
5671,32.0,male,white,male,5671,0.5675675675675675
14177,40.0,male,white,male,14177,0.7837837837837838
6169,35.5,male,white,male,6169,0.6621621621621622
19667,42.0,male,white,male,19667,0.8378378378378378
19843,36.0,male,white,male,19843,0.6756756756756757
18620,39.0,male,white,male,18620,0.7567567567567568
21763,37.0,male,white,male,21763,0.7027027027027027
13877,45.0,female,white,female,13877,0.918918918918919
17658,41.0,male,asian,male,17658,0.8108108108108109
4016,40.0,female,white,female,4016,0.7837837837837838
1067,36.0,female,white,female,1067,0.6756756756756757
21184,22.0,female,white,female,21184,0.2972972972972973
364,40.0,female,white,female,364,0.7837837837837838
16801,44.0,female,white,female,16801,0.8918918918918919
5477,45.0,male,white,male,5477,0.918918918918919
8109,40.0,female,white,female,8109,0.7837837837837838
