,gender,age_cat,quality,id,z
591,female,middle,0.2522276205430276,591,middle_female
892,male,middle,0.1879850146755698,892,middle_male
25,male,middle,0.13659848497249355,25,middle_male
371,male,middle,0.5732298971136157,371,middle_male
309,male,young,0.13025795886811128,309,young_male
748,male,middle,0.305339836081881,748,middle_male
175,female,old,0.28314217107773204,175,old_female
587,male,young,0.16910509244160937,587,young_male
328,male,middle,0.6420231258271141,328,middle_male
611,female,old,0.4240717119735274,611,old_female
792,male,middle,0.1333233964217045,792,middle_male
663,male,middle,0.008091395243125903,663,middle_male
319,female,middle,0.5041149517047208,319,middle_female
987,female,old,0.05582319810319361,987,old_female
32,male,middle,0.30140557457594475,32,middle_male
964,male,young,0.019647855578794154,964,young_male
857,male,middle,0.23023567164498596,857,middle_male
749,male,middle,0.36940017779411893,749,middle_male
464,male,middle,0.36346636203264515,464,middle_male
571,male,middle,0.5178274175656057,571,middle_male
72,male,old,0.4110028368990792,72,old_male
842,female,young,0.12017330519518948,842,young_female
142,male,middle,0.3004504978109414,142,middle_male
960,male,middle,0.41189054832864713,960,middle_male
51,male,middle,0.6224714389865231,51,middle_male
974,female,middle,0.3050911509650871,974,middle_female
927,male,middle,0.7137711429567968,927,middle_male
534,male,middle,0.17937295464361222,534,middle_male
11,female,young,0.34242854552574553,11,young_female
6,male,old,0.5383082108900158,6,old_male
848,male,old,0.2994334071623832,848,old_male
923,male,middle,0.3302533629153199,923,middle_male
973,male,middle,0.8397775307015942,973,middle_male
465,male,old,0.2727557899561433,465,old_male
585,female,young,0.21948554919117527,585,young_female
675,female,middle,0.4873455476549939,675,middle_female
182,male,middle,0.22825752319696993,182,middle_male
755,female,middle,0.38355760113929266,755,middle_female
325,male,middle,0.33725180280970113,325,middle_male
658,female,middle,0.3348452234199681,658,middle_female
271,female,middle,0.31740987840242163,271,middle_female
750,female,old,0.38380612886044296,750,old_female
732,female,middle,0.28078328256799184,732,middle_female
76,male,middle,0.30076025243742893,76,middle_male
887,male,young,0.6829414286739607,887,young_male
595,female,middle,0.029858425766548263,595,middle_female
962,male,middle,0.23479510864706485,962,middle_male
247,male,middle,0.13295949769383905,247,middle_male
612,female,middle,0.16760416758480795,612,middle_female
839,male,old,0.5335133100052004,839,old_male
431,male,middle,0.45265019636680487,431,middle_male
777,female,middle,0.39683801595865914,777,middle_female
412,male,middle,0.06900350929326839,412,middle_male
495,male,young,0.2742970080976911,495,young_male
485,male,old,0.01149491863904394,485,old_male
701,male,old,0.750447318418942,701,old_male
617,male,middle,0.18587465388697988,617,middle_male
972,female,middle,0.11413072904402922,972,middle_female
983,male,middle,0.4549658010745715,983,middle_male
157,male,middle,0.4162271130994728,157,middle_male
159,male,middle,0.14781512811375802,159,middle_male
290,male,middle,0.16454565543953048,290,middle_male
976,female,old,0.12330547850164385,976,old_female
958,male,middle,0.3188009411000319,958,middle_male
151,male,middle,0.17125574651494568,151,middle_male
258,female,young,0.14301770889864604,258,young_female
593,female,young,0.2683461936067149,593,young_female
149,male,old,0.4771606329571368,149,old_male
343,male,middle,0.5383170250460539,343,middle_male
627,male,middle,0.3009960311114525,627,middle_male
941,male,middle,0.16316435127181975,941,middle_male
21,male,middle,0.16384807794735937,21,middle_male
308,female,young,0.1451079230448628,308,young_female
200,male,old,0.411843329635585,200,old_male
376,male,middle,0.10392897301231338,376,middle_male
841,male,middle,0.25706974012090505,841,middle_male
770,female,middle,0.5378158773170213,770,middle_female
24,male,middle,0.17435958860556275,24,middle_male
402,male,middle,0.29802534573527056,402,middle_male
615,male,old,0.6087060881894087,615,old_male
517,female,young,0.3341193147119597,517,young_female
207,male,middle,0.3178808061678946,207,middle_male
944,female,old,0.10091248550386124,944,old_female
413,male,middle,0.1642560474554161,413,middle_male
797,female,young,0.0711842259345209,797,young_female
272,male,middle,0.48638527683375377,272,middle_male
622,male,middle,0.43125194383619775,622,middle_male
407,male,middle,0.08395908594683554,407,middle_male
277,male,old,0.43598467344181463,277,old_male
180,male,middle,0.3864565141020201,180,middle_male
7,male,middle,0.42754496163953376,7,middle_male
55,male,middle,0.12394765272728876,55,middle_male
366,male,middle,0.4041373963234896,366,middle_male
852,male,middle,0.1901639999647434,852,middle_male
375,female,middle,0.6578591737106465,375,middle_female
322,male,middle,0.41834203836172545,322,middle_male
251,female,old,0.18969747927728958,251,old_female
769,male,old,0.44439715579776295,769,old_male
641,male,middle,0.454132391142025,641,middle_male
229,male,young,0.1803148101745581,229,young_male
237,male,old,0.5196895654243324,237,old_male
988,male,middle,0.22942240835481262,988,middle_male
36,male,middle,0.47825909715340537,36,middle_male
192,male,middle,0.3111319957641685,192,middle_male
266,male,middle,0.6812171593989753,266,middle_male
132,male,middle,0.11938569739491324,132,middle_male
138,male,middle,0.3629570297301484,138,middle_male
249,female,young,0.06353621421924835,249,young_female
22,male,old,0.08078410102533819,22,old_male
776,male,middle,0.5003728702795472,776,middle_male
429,female,old,0.07974041051302165,429,old_female
709,male,middle,0.16968745632270893,709,middle_male
864,male,middle,0.17737780746609383,864,middle_male
53,male,middle,0.2481479254624599,53,middle_male
996,male,middle,0.3270535094821432,996,middle_male
89,male,middle,0.3111165709911015,89,middle_male
437,female,middle,0.5051720208467383,437,middle_female
925,male,old,0.05917556791496103,925,old_male
908,female,old,0.13835124285895967,908,old_female
888,male,middle,0.6878529597306394,888,middle_male
753,female,middle,0.5139101547891718,753,middle_female
160,male,middle,0.5391002257683112,160,middle_male
801,female,old,0.4817200699592157,801,old_female
510,male,middle,0.303645944166099,510,middle_male
58,female,young,0.48527343400778417,58,young_female
93,male,young,0.5550475523718265,93,young_male
161,female,middle,0.10116494811610006,161,middle_female
548,female,young,0.15491304205485681,548,young_female
691,female,middle,0.21499473668968003,691,middle_female
870,female,middle,0.5890571308411098,870,middle_female
42,male,middle,0.30864073751821064,42,middle_male
738,male,middle,0.3977974998016815,738,middle_male
133,male,old,0.21830822977749292,133,old_male
115,male,old,0.6915171303122605,115,old_male
150,male,middle,0.40345666016517734,150,middle_male
544,male,old,0.43583483278916413,544,old_male
805,male,young,0.6231565822228546,805,young_male
961,male,old,0.24337002330714688,961,old_male
445,female,middle,0.4184363183522062,445,middle_female
979,male,middle,0.18573299780779348,979,middle_male
648,male,middle,0.3763224381970266,648,middle_male
742,male,middle,0.5281020477802807,742,middle_male
48,male,middle,0.2905131664603734,48,middle_male
647,female,middle,0.1711814557711946,647,middle_female
939,male,old,0.356623743825369,939,old_male
183,male,old,0.29101494377198034,183,old_male
853,male,middle,0.35259221181172457,853,middle_male
199,male,middle,0.5352774003780014,199,middle_male
187,male,old,0.06797728969738485,187,old_male
454,male,middle,0.4591629133052204,454,middle_male
579,male,middle,0.1329651639370065,579,middle_male
