,gender,age_cat,quality,id,z
591,female,middle,0.2522276205430276,591,female
892,male,middle,0.1879850146755698,892,male
25,male,middle,0.13659848497249355,25,male
371,male,middle,0.5732298971136157,371,male
309,male,young,0.13025795886811128,309,male
748,male,middle,0.305339836081881,748,male
175,female,old,0.28314217107773204,175,female
587,male,young,0.16910509244160937,587,male
328,male,middle,0.6420231258271141,328,male
611,female,old,0.4240717119735274,611,female
792,male,middle,0.1333233964217045,792,male
663,male,middle,0.008091395243125903,663,male
319,female,middle,0.5041149517047208,319,female
987,female,old,0.05582319810319361,987,female
32,male,middle,0.30140557457594475,32,male
964,male,young,0.019647855578794154,964,male
857,male,middle,0.23023567164498596,857,male
749,male,middle,0.36940017779411893,749,male
464,male,middle,0.36346636203264515,464,male
571,male,middle,0.5178274175656057,571,male
72,male,old,0.4110028368990792,72,male
842,female,young,0.12017330519518948,842,female
142,male,middle,0.3004504978109414,142,male
960,male,middle,0.41189054832864713,960,male
51,male,middle,0.6224714389865231,51,male
974,female,middle,0.3050911509650871,974,female
927,male,middle,0.7137711429567968,927,male
534,male,middle,0.17937295464361222,534,male
11,female,young,0.34242854552574553,11,female
6,male,old,0.5383082108900158,6,male
848,male,old,0.2994334071623832,848,male
923,male,middle,0.3302533629153199,923,male
973,male,middle,0.8397775307015942,973,male
465,male,old,0.2727557899561433,465,male
585,female,young,0.21948554919117527,585,female
675,female,middle,0.4873455476549939,675,female
182,male,middle,0.22825752319696993,182,male
755,female,middle,0.38355760113929266,755,female
325,male,middle,0.33725180280970113,325,male
658,female,middle,0.3348452234199681,658,female
271,female,middle,0.31740987840242163,271,female
750,female,old,0.38380612886044296,750,female
732,female,middle,0.28078328256799184,732,female
76,male,middle,0.30076025243742893,76,male
887,male,young,0.6829414286739607,887,male
595,female,middle,0.029858425766548263,595,female
962,male,middle,0.23479510864706485,962,male
247,male,middle,0.13295949769383905,247,male
612,female,middle,0.16760416758480795,612,female
839,male,old,0.5335133100052004,839,male
431,male,middle,0.45265019636680487,431,male
777,female,middle,0.39683801595865914,777,female
412,male,middle,0.06900350929326839,412,male
495,male,young,0.2742970080976911,495,male
485,male,old,0.01149491863904394,485,male
701,male,old,0.750447318418942,701,male
617,male,middle,0.18587465388697988,617,male
972,female,middle,0.11413072904402922,972,female
983,male,middle,0.4549658010745715,983,male
157,male,middle,0.4162271130994728,157,male
159,male,middle,0.14781512811375802,159,male
290,male,middle,0.16454565543953048,290,male
976,female,old,0.12330547850164385,976,female
958,male,middle,0.3188009411000319,958,male
151,male,middle,0.17125574651494568,151,male
258,female,young,0.14301770889864604,258,female
593,female,young,0.2683461936067149,593,female
149,male,old,0.4771606329571368,149,male
343,male,middle,0.5383170250460539,343,male
627,male,middle,0.3009960311114525,627,male
941,male,middle,0.16316435127181975,941,male
21,male,middle,0.16384807794735937,21,male
308,female,young,0.1451079230448628,308,female
200,male,old,0.411843329635585,200,male
376,male,middle,0.10392897301231338,376,male
841,male,middle,0.25706974012090505,841,male
770,female,middle,0.5378158773170213,770,female
24,male,middle,0.17435958860556275,24,male
402,male,middle,0.29802534573527056,402,male
615,male,old,0.6087060881894087,615,male
517,female,young,0.3341193147119597,517,female
207,male,middle,0.3178808061678946,207,male
944,female,old,0.10091248550386124,944,female
413,male,middle,0.1642560474554161,413,male
797,female,young,0.0711842259345209,797,female
272,male,middle,0.48638527683375377,272,male
622,male,middle,0.43125194383619775,622,male
407,male,middle,0.08395908594683554,407,male
277,male,old,0.43598467344181463,277,male
180,male,middle,0.3864565141020201,180,male
7,male,middle,0.42754496163953376,7,male
55,male,middle,0.12394765272728876,55,male
366,male,middle,0.4041373963234896,366,male
852,male,middle,0.1901639999647434,852,male
375,female,middle,0.6578591737106465,375,female
322,male,middle,0.41834203836172545,322,male
251,female,old,0.18969747927728958,251,female
769,male,old,0.44439715579776295,769,male
641,male,middle,0.454132391142025,641,male
229,male,young,0.1803148101745581,229,male
237,male,old,0.5196895654243324,237,male
988,male,middle,0.22942240835481262,988,male
36,male,middle,0.47825909715340537,36,male
192,male,middle,0.3111319957641685,192,male
266,male,middle,0.6812171593989753,266,male
132,male,middle,0.11938569739491324,132,male
138,male,middle,0.3629570297301484,138,male
249,female,young,0.06353621421924835,249,female
22,male,old,0.08078410102533819,22,male
776,male,middle,0.5003728702795472,776,male
429,female,old,0.07974041051302165,429,female
709,male,middle,0.16968745632270893,709,male
864,male,middle,0.17737780746609383,864,male
53,male,middle,0.2481479254624599,53,male
996,male,middle,0.3270535094821432,996,male
89,male,middle,0.3111165709911015,89,male
