,Sex_Code_Text,Ethnic_Code_Text,DateOfBirth,RawScore,z,id,quality
550,Female,African-American,09/10/89,0.54,African-American,550,0.5206463195691202
60412,Male,Hispanic,07/07/95,-0.25,Hispanic,60412,0.3788150807899461
57484,Female,Caucasian,11/28/63,2.59,Caucasian,57484,0.8886894075403948
9112,Male,Caucasian,02/01/94,0.02,Caucasian,9112,0.42728904847396765
33739,Male,African-American,04/09/96,-0.0,African-American,33739,0.42369838420107714
6670,Male,African-American,01/24/94,-0.42,African-American,6670,0.348294434470377
20932,Male,Caucasian,10/19/93,-0.61,Caucasian,20932,0.3141831238779174
41173,Male,African-American,01/15/82,0.4,African-American,41173,0.4955116696588868
16789,Male,Caucasian,02/05/67,2.23,Caucasian,16789,0.8240574506283662
53434,Male,African-American,01/10/90,0.83,African-American,53434,0.5727109515260322
37471,Male,Caucasian,09/15/89,1.14,Caucasian,37471,0.6283662477558348
49978,Female,African-American,11/22/88,0.65,African-American,49978,0.5403949730700179
18505,Female,Caucasian,11/26/81,1.45,Caucasian,18505,0.6840215439856372
13591,Male,Caucasian,09/28/91,0.72,Caucasian,13591,0.5529622980251346
19012,Male,Caucasian,05/28/82,1.4,Caucasian,19012,0.6750448833034111
22402,Female,Caucasian,04/02/63,2.27,Caucasian,22402,0.8312387791741471
9040,Male,African-American,12/09/94,0.63,African-American,9040,0.5368043087971274
10300,Male,African-American,09/21/94,0.73,African-American,10300,0.5547576301615799
22762,Male,African-American,11/03/87,0.63,African-American,22762,0.5368043087971274
24166,Male,Hispanic,07/04/72,1.66,Hispanic,24166,0.7217235188509873
57412,Male,African-American,05/05/88,0.46,African-American,57412,0.5062836624775583
59905,Male,African-American,08/14/87,0.37,African-American,59905,0.49012567324955114
38560,Male,Caucasian,02/05/84,0.36,Caucasian,38560,0.48833034111310586
15436,Female,Caucasian,05/07/72,1.22,Caucasian,15436,0.6427289048473968
29815,Male,Caucasian,07/15/69,2.15,Caucasian,29815,0.8096947935368042
16738,Female,Hispanic,07/05/92,0.84,Hispanic,16738,0.5745062836624775
33028,Male,Caucasian,06/03/76,0.27,Caucasian,33028,0.4721723518850987
39517,Female,Caucasian,01/03/89,0.03,Caucasian,39517,0.4290843806104129
48598,Male,African-American,05/10/61,0.08,African-American,48598,0.4380610412926391
36991,Female,Caucasian,08/24/66,1.39,Caucasian,36991,0.6732495511669658
14446,Female,Caucasian,11/21/91,0.4,Caucasian,14446,0.4955116696588868
37360,Male,African-American,01/01/93,-0.64,African-American,37360,0.3087971274685816
57712,Male,Caucasian,05/06/82,1.2,Caucasian,57712,0.6391382405745062
18430,Male,African-American,08/07/69,0.2,African-American,18430,0.459605026929982
23092,Female,African-American,04/13/89,1.57,African-American,23092,0.7055655296229801
36544,Male,African-American,01/24/94,-0.82,African-American,36544,0.2764811490125673
12271,Female,African-American,10/03/89,0.69,African-American,12271,0.5475763016157988
13606,Female,African-American,05/15/75,1.35,African-American,13606,0.6660682226211849
36703,Male,Caucasian,08/19/92,0.04,Caucasian,36703,0.43087971274685816
1765,Male,African-American,08/28/86,-0.21,African-American,1765,0.3859964093357271
55570,Male,African-American,12/09/88,1.54,African-American,55570,0.7001795332136445
34321,Male,African-American,09/21/65,2.21,African-American,34321,0.8204667863554758
47842,Male,Caucasian,10/23/63,1.05,Caucasian,47842,0.6122082585278277
4822,Male,Caucasian,04/08/82,1.22,Caucasian,4822,0.6427289048473968
38770,Female,Caucasian,06/30/70,1.48,Caucasian,38770,0.689407540394973
48784,Male,African-American,10/20/95,-0.24,African-American,48784,0.38061041292639136
23536,Female,African-American,03/17/69,0.24,African-American,23536,0.4667863554757629
43948,Male,Caucasian,05/05/87,0.79,Caucasian,43948,0.5655296229802513
18118,Male,Hispanic,11/23/47,1.97,Hispanic,18118,0.7773788150807899
13111,Female,Caucasian,07/29/50,2.87,Caucasian,13111,0.9389587073608617
36385,Male,Hispanic,03/04/83,1.62,Hispanic,36385,0.7145421903052064
14614,Male,Caucasian,07/14/40,0.58,Caucasian,14614,0.5278276481149012
54142,Male,African-American,11/10/56,0.9,African-American,54142,0.5852782764811489
