,Sex_Code_Text,Ethnic_Code_Text,DateOfBirth,RawScore,z,id,quality
36550,Male,Caucasian,05/18/57,2.27,Male,36550,0.8312387791741471
4921,Male,Hispanic,03/03/73,2.15,Male,4921,0.8096947935368042
39229,Female,African-American,02/12/74,2.14,Female,39229,0.8078994614003591
46003,Male,Hispanic,10/07/85,1.04,Male,46003,0.6104129263913823
28297,Male,African-American,11/08/94,0.76,Male,28297,0.5601436265709157
51835,Male,Caucasian,08/22/95,0.45,Male,51835,0.5044883303411131
46480,Male,African-American,03/04/58,1.45,Male,46480,0.6840215439856372
27664,Female,Caucasian,09/22/65,2.39,Female,27664,0.8527827648114901
54853,Male,African-American,11/02/85,-0.23,Male,54853,0.3824057450628366
53893,Male,African-American,03/17/89,0.68,Male,53893,0.5457809694793536
23179,Female,African-American,06/18/86,0.87,Female,23179,0.5798922800718133
60106,Male,African-American,12/24/94,0.81,Male,60106,0.5691202872531418
57055,Male,Hispanic,07/12/90,1.24,Male,57055,0.6463195691202872
7933,Male,African-American,12/22/61,0.21,Male,7933,0.46140035906642723
4123,Male,Other,09/15/59,2.67,Male,4123,0.9030520646319568
4090,Male,Caucasian,10/02/82,0.91,Male,4090,0.5870736086175943
28198,Male,Caucasian,12/05/86,1.4,Male,28198,0.6750448833034111
56857,Female,Caucasian,10/11/88,1.49,Female,56857,0.6912028725314182
5602,Male,African-American,05/05/89,-0.82,Male,5602,0.2764811490125673
59278,Female,Hispanic,11/18/94,0.27,Female,59278,0.4721723518850987
15886,Male,Hispanic,10/19/77,1.72,Male,15886,0.7324955116696589
1486,Male,Caucasian,03/22/92,0.51,Male,1486,0.5152603231597845
11332,Male,African-American,06/20/87,0.67,Male,11332,0.5439856373429084
27367,Male,Caucasian,07/16/89,-0.92,Male,27367,0.2585278276481149
39307,Male,Caucasian,12/09/91,0.32,Male,39307,0.4811490125673249
31309,Male,Caucasian,03/24/92,0.38,Male,31309,0.49192100538599637
26809,Male,African-American,08/24/84,-0.08,Male,26809,0.4093357271095152
60385,Male,Other,12/17/91,1.0,Male,60385,0.6032315978456014
16291,Male,African-American,01/28/95,0.82,Male,16291,0.570915619389587
17524,Male,Caucasian,03/21/88,-0.55,Male,17524,0.32495511669658883
32677,Female,African-American,07/29/90,0.02,Female,32677,0.42728904847396765
35230,Female,Caucasian,02/20/93,0.54,Female,35230,0.5206463195691202
26728,Male,African-American,05/18/90,-0.19,Male,26728,0.38958707360861755
47293,Male,Hispanic,10/31/59,2.64,Male,47293,0.8976660682226212
41185,Male,Caucasian,02/28/65,2.25,Male,41185,0.8276481149012566
4876,Male,African-American,01/31/83,0.15,Male,4876,0.45062836624775576
18670,Male,African-American,10/14/86,1.22,Male,18670,0.6427289048473968
51217,Male,African-American,06/03/93,-0.2,Male,51217,0.38779174147217227
5578,Male,African-American,07/06/83,0.2,Male,5578,0.459605026929982
