,lsat,gender,race1,z,id,quality
0,48.0,female,white,white_female,10552,1.0
1,48.0,male,white,white_male,13780,1.0
2,48.0,male,white,white_male,7600,1.0
3,48.0,male,white,white_male,31,1.0
4,48.0,male,white,white_male,4,1.0
5,48.0,female,white,white_female,40,1.0
6,48.0,female,white,white_female,10471,1.0
7,48.0,male,white,white_male,2450,1.0
8,48.0,male,white,white_male,18937,1.0
9,48.0,female,white,white_female,7903,1.0
10,48.0,male,white,white_male,3249,1.0
11,48.0,male,white,white_male,15158,1.0
12,48.0,female,white,white_female,20818,1.0
13,48.0,female,white,white_female,1154,1.0
14,48.0,female,white,white_female,15055,1.0
15,48.0,female,white,white_female,3205,1.0
16,48.0,female,white,white_female,5553,1.0
17,48.0,male,white,white_male,5539,1.0
18,48.0,female,white,white_female,196,1.0
19,48.0,male,hisp,hisp_male,8756,1.0
20,48.0,female,white,white_female,5585,1.0
21,48.0,female,white,white_female,13910,1.0
22,48.0,male,white,white_male,13944,1.0
23,48.0,female,white,white_female,22093,1.0
24,48.0,male,white,white_male,5547,1.0
25,48.0,male,white,white_male,5548,1.0
26,48.0,female,white,white_female,18709,1.0
27,48.0,male,white,white_male,4516,1.0
28,48.0,male,asian,asian_male,13072,1.0
29,48.0,male,white,white_male,13116,1.0
30,48.0,female,white,white_female,13120,1.0
31,48.0,female,white,white_female,15022,1.0
32,48.0,male,white,white_male,3166,1.0
33,48.0,male,asian,asian_male,20841,1.0
34,48.0,female,white,white_female,14976,1.0
35,48.0,female,white,white_female,2019,1.0
36,48.0,male,white,white_male,3196,1.0
37,48.0,female,white,white_female,13110,1.0
38,48.0,male,white,white_male,1981,1.0
39,48.0,male,white,white_male,14997,1.0
40,48.0,male,white,white_male,6235,1.0
41,48.0,male,white,white_male,20919,1.0
42,48.0,male,white,white_male,3150,1.0
43,48.0,male,white,white_male,15002,1.0
44,48.0,female,asian,asian_female,20897,1.0
45,48.0,male,white,white_male,20887,1.0
46,48.0,female,white,white_female,13080,1.0
47,48.0,female,white,white_female,6715,1.0
48,48.0,male,white,white_male,10625,1.0
49,48.0,male,white,white_male,12272,1.0
50,48.0,male,white,white_male,12300,1.0
51,48.0,female,asian,asian_female,13631,1.0
52,48.0,male,white,white_male,7681,1.0
53,48.0,male,white,white_male,13037,1.0
54,48.0,female,white,white_female,13040,1.0
55,48.0,male,white,white_male,13197,1.0
56,48.0,male,white,white_male,13140,1.0
57,48.0,male,white,white_male,20900,1.0
58,48.0,male,white,white_male,20959,1.0
59,48.0,male,white,white_male,20952,1.0
60,48.0,female,white,white_female,6191,1.0
61,48.0,female,white,white_female,9527,1.0
62,48.0,male,white,white_male,14845,1.0
63,48.0,male,white,white_male,1003,1.0
64,48.0,female,white,white_female,4665,1.0
65,48.0,female,white,white_female,6181,1.0
66,48.0,male,hisp,hisp_male,6165,1.0
67,48.0,male,white,white_male,13189,1.0
68,48.0,female,white,white_female,15283,1.0
69,48.0,female,white,white_female,20764,1.0
70,48.0,male,white,white_male,4406,1.0
