,lsat,gender,race1,z,id,quality
0,48.0,male,white,male,19372,1.0
1,48.0,male,white,male,21403,1.0
2,48.0,female,white,female,1371,1.0
3,48.0,male,white,male,18211,1.0
4,48.0,male,white,male,10252,1.0
5,48.0,female,other,female,436,1.0
6,48.0,male,asian,male,1669,1.0
7,48.0,male,white,male,1673,1.0
8,48.0,male,white,male,20409,1.0
9,48.0,male,white,male,21283,1.0
10,48.0,male,white,male,20635,1.0
11,48.0,male,white,male,12034,1.0
12,48.0,male,white,male,14326,1.0
13,48.0,male,white,male,21613,1.0
14,48.0,male,white,male,21625,1.0
15,48.0,male,white,male,14768,1.0
16,48.0,male,white,male,10804,1.0
17,48.0,female,white,female,10239,1.0
18,48.0,female,white,female,2109,1.0
19,48.0,male,white,male,10232,1.0
20,48.0,male,white,male,19452,1.0
21,48.0,male,white,male,4724,1.0
22,48.0,male,white,male,1538,1.0
23,48.0,female,white,female,2019,1.0
24,48.0,male,white,male,6932,1.0
25,48.0,male,white,male,640,1.0
26,48.0,male,white,male,13411,1.0
27,48.0,male,white,male,9375,1.0
28,48.0,male,white,male,7922,1.0
29,48.0,female,white,female,3481,1.0
30,48.0,female,white,female,3506,1.0
31,48.0,male,white,male,3543,1.0
32,48.0,male,white,male,12041,1.0
33,48.0,male,white,male,1892,1.0
34,48.0,female,white,female,20490,1.0
35,48.0,male,white,male,13944,1.0
36,48.0,female,white,female,12103,1.0
37,48.0,male,white,male,397,1.0
38,48.0,male,white,male,10213,1.0
39,48.0,male,white,male,14525,1.0
40,48.0,male,white,male,5414,1.0
41,48.0,male,white,male,13197,1.0
42,48.0,male,white,male,13140,1.0
43,48.0,male,white,male,10890,1.0
44,48.0,female,white,female,15055,1.0
45,48.0,male,white,male,14579,1.0
46,48.0,male,white,male,13316,1.0
47,48.0,male,hisp,male,16237,1.0
48,48.0,female,white,female,9226,1.0
49,48.0,male,white,male,8181,1.0
50,48.0,female,white,female,14554,1.0
51,48.0,male,white,male,15958,1.0
52,48.0,male,white,male,14688,1.0
53,48.0,male,white,male,14272,1.0
54,48.0,male,white,male,3280,1.0
55,48.0,male,white,male,14796,1.0
56,48.0,male,white,male,356,1.0
57,48.0,male,white,male,17009,1.0
58,48.0,female,other,female,7266,1.0
59,48.0,male,asian,male,14263,1.0
60,48.0,female,white,female,14274,1.0
61,48.0,male,white,male,21067,1.0
62,48.0,male,white,male,6235,1.0
63,48.0,male,white,male,13037,1.0
64,48.0,male,white,male,4516,1.0
65,48.0,male,white,male,10260,1.0
66,48.0,female,white,female,3031,1.0
67,48.0,female,white,female,3271,1.0
68,48.0,female,white,female,10249,1.0
69,48.0,male,white,male,6417,1.0
70,48.0,female,white,female,5461,1.0
71,48.0,male,white,male,5476,1.0
72,48.0,male,white,male,12981,1.0
73,48.0,male,white,male,13780,1.0
74,48.0,male,white,male,13002,1.0
75,48.0,female,white,female,17016,1.0
76,48.0,female,white,female,22093,1.0
77,48.0,female,white,female,20483,1.0
78,48.0,male,white,male,9261,1.0
79,48.0,male,white,male,9290,1.0
80,48.0,female,white,female,17018,1.0
81,48.0,male,white,male,9239,1.0
82,48.0,female,white,female,12911,1.0
83,48.0,male,white,male,16876,1.0
84,48.0,male,white,male,4823,1.0
85,48.0,male,white,male,14791,1.0
86,48.0,male,white,male,14593,1.0
87,48.0,male,white,male,13341,1.0
88,48.0,male,white,male,3249,1.0
89,48.0,male,white,male,20498,1.0
90,48.0,female,white,female,12906,1.0
91,48.0,female,white,female,21202,1.0
92,48.0,male,white,male,575,1.0
93,48.0,male,white,male,4106,1.0
94,48.0,male,white,male,570,1.0
95,48.0,male,white,male,14531,1.0
96,48.0,female,white,female,14537,1.0
97,48.0,male,white,male,7737,1.0
98,48.0,male,other,male,9589,1.0
99,48.0,male,white,male,12014,1.0
100,48.0,female,white,female,3569,1.0
101,48.0,male,white,male,21304,1.0
102,48.0,male,white,male,520,1.0
103,48.0,female,white,female,11028,1.0
104,48.0,female,asian,female,14850,1.0
105,48.0,female,white,female,10049,1.0
106,48.0,male,white,male,14997,1.0
107,48.0,male,white,male,12975,1.0
108,48.0,male,white,male,21371,1.0
109,48.0,male,white,male,21311,1.0
110,48.0,female,white,female,4988,1.0
111,48.0,male,white,male,904,1.0
112,48.0,female,white,female,1800,1.0
113,48.0,male,white,male,3600,1.0
114,48.0,female,white,female,14529,1.0
115,48.0,male,white,male,7600,1.0
116,48.0,female,white,female,5054,1.0
117,48.0,male,white,male,5062,1.0
118,48.0,female,white,female,9527,1.0
119,48.0,male,asian,male,13335,1.0
120,48.0,male,white,male,13342,1.0
