,lsat,gender,race1,z,id,quality
0,48.0,female,white,white,10552,1.0
1,48.0,male,white,white,13780,1.0
2,48.0,male,white,white,7600,1.0
3,48.0,male,white,white,31,1.0
4,48.0,male,white,white,4,1.0
5,48.0,female,white,white,40,1.0
6,48.0,female,white,white,10471,1.0
7,48.0,male,white,white,2450,1.0
8,48.0,male,white,white,18937,1.0
9,48.0,female,white,white,7903,1.0
10,48.0,male,white,white,3249,1.0
11,48.0,male,white,white,15158,1.0
12,48.0,female,white,white,20818,1.0
13,48.0,female,white,white,1154,1.0
14,48.0,female,white,white,15055,1.0
15,48.0,female,white,white,3205,1.0
16,48.0,female,white,white,5553,1.0
17,48.0,male,white,white,5539,1.0
18,48.0,female,white,white,196,1.0
19,48.0,male,hisp,hisp,8756,1.0
20,48.0,female,white,white,5585,1.0
21,48.0,female,white,white,13910,1.0
22,48.0,male,white,white,13944,1.0
23,48.0,female,white,white,22093,1.0
24,48.0,male,white,white,5547,1.0
25,48.0,male,white,white,5548,1.0
26,48.0,female,white,white,18709,1.0
27,48.0,male,white,white,4516,1.0
28,48.0,male,asian,asian,13072,1.0
29,48.0,male,white,white,13116,1.0
30,48.0,female,white,white,13120,1.0
31,48.0,female,white,white,15022,1.0
32,48.0,male,white,white,3166,1.0
33,48.0,male,asian,asian,20841,1.0
34,48.0,female,white,white,14976,1.0
35,48.0,female,white,white,2019,1.0
36,48.0,male,white,white,3196,1.0
37,48.0,female,white,white,13110,1.0
38,48.0,male,white,white,1981,1.0
39,48.0,male,white,white,14997,1.0
40,48.0,male,white,white,6235,1.0
41,48.0,male,white,white,20919,1.0
42,48.0,male,white,white,3150,1.0
43,48.0,male,white,white,15002,1.0
44,48.0,female,asian,asian,20897,1.0
45,48.0,male,white,white,20887,1.0
46,48.0,female,white,white,13080,1.0
47,48.0,female,white,white,6715,1.0
48,48.0,male,white,white,10625,1.0
49,48.0,male,white,white,12272,1.0
50,48.0,male,white,white,12300,1.0
51,48.0,female,asian,asian,13631,1.0
52,48.0,male,white,white,7681,1.0
53,48.0,male,white,white,13037,1.0
54,48.0,female,white,white,13040,1.0
55,48.0,male,white,white,13197,1.0
56,48.0,male,white,white,13140,1.0
57,48.0,male,white,white,20900,1.0
58,48.0,male,white,white,20959,1.0
59,48.0,male,white,white,20952,1.0
60,48.0,female,white,white,6191,1.0
61,48.0,female,white,white,9527,1.0
62,48.0,male,white,white,14845,1.0
63,48.0,male,white,white,1003,1.0
64,48.0,female,white,white,4665,1.0
65,48.0,female,white,white,6181,1.0
66,48.0,male,hisp,hisp,6165,1.0
67,48.0,male,white,white,13189,1.0
68,48.0,female,white,white,15283,1.0
69,48.0,female,white,white,20764,1.0
70,48.0,male,white,white,4406,1.0
71,48.0,male,white,white,13002,1.0
72,48.0,male,white,white,14796,1.0
73,48.0,male,white,white,14791,1.0
74,48.0,female,asian,asian,14850,1.0
75,48.0,female,white,white,14842,1.0
76,48.0,male,white,white,14768,1.0
77,48.0,male,white,white,17282,1.0
78,48.0,female,white,white,3271,1.0
79,48.0,male,white,white,4662,1.0
80,48.0,female,white,white,9944,1.0
81,48.0,male,white,white,8037,1.0
82,48.0,male,white,white,231,1.0
83,48.0,female,white,white,5810,1.0
84,48.0,male,white,white,5800,1.0
85,48.0,male,white,white,1615,1.0
86,48.0,male,white,white,14003,1.0
87,48.0,female,white,white,13647,1.0
88,48.0,male,white,white,5476,1.0
89,48.0,male,white,white,14005,1.0
90,48.0,male,white,white,247,1.0
91,48.0,female,white,white,8701,1.0
92,48.0,female,hisp,hisp,19690,1.0
93,48.0,female,white,white,1952,1.0
94,48.0,female,white,white,17316,1.0
95,48.0,male,white,white,3280,1.0
96,48.0,male,white,white,21067,1.0
97,48.0,female,hisp,hisp,20723,1.0
98,48.0,female,white,white,21046,1.0
99,48.0,female,white,white,21028,1.0
100,48.0,male,white,white,14688,1.0
101,48.0,male,white,white,4724,1.0
102,48.0,female,white,white,9672,1.0
103,48.0,male,white,white,12975,1.0
104,48.0,male,white,white,4294,1.0
105,48.0,male,white,white,20653,1.0
106,48.0,male,white,white,20635,1.0
107,48.0,female,white,white,20704,1.0
108,48.0,male,white,white,12981,1.0
109,48.0,female,white,white,2109,1.0
110,48.0,female,white,white,3031,1.0
111,48.0,male,white,white,15567,1.0
112,48.0,female,white,white,13277,1.0
113,48.0,male,white,white,19452,1.0
114,48.0,female,white,white,2568,1.0
